model,agent,normalized_mean,normalized_median,original_benchmark_table_coverage,rank
gpt-5.4,codex,0.5912964215462428,0.6004241520806205,1.0,1
gemini-3.1-pro-preview,gemini-cli,0.49786136409602727,0.49565496739522275,1.0,2
gemini-3.1-pro-preview,terminus-2,0.45919219660145516,0.4566202848685711,1.0,3
claude-opus-4-6,claude-code,0.324964811154621,0.3244322029296487,1.0,4
claude-opus-4-6,terminus-2,0.31157322922998004,0.2797407472822075,1.0,5
claude-sonnet-4-6,claude-code,0.1813099793823842,0.1428764342278199,1.0,6
claude-sonnet-4-6,terminus-2,0.09066581586187022,0.06786894408569485,1.0,7
gemini-3-flash-preview,terminus-2,0.010182785491848397,0.0379616009448136,1.0,8
gemini-3-flash-preview,gemini-cli,-0.2021924171301327,0.032543471081180955,1.0,9
gpt-5-mini,codex,-0.2204709776211864,-0.14007604288793796,1.0,10
gpt-5.4,terminus-2,-0.22066532504754197,-0.1665062264691567,1.0,11
claude-haiku-4-5-20251001,claude-code,-0.34405193497655623,-0.3337411981944852,1.0,12
gpt-5-mini,terminus-2,-0.7634883798833185,-0.7460818448216507,1.0,13
claude-haiku-4-5-20251001,terminus-2,-1.0278943609553253,-0.7611846816898704,1.0,14
gpt-5-nano,terminus-2,-1.9256083893518436,-1.4564663197549372,1.0,15
gpt-5-nano,codex,-3.2968260895279973,-1.3022422912239389,1.0,16
