column,observed_count,missing_count,missing_fraction,mean,std,median,q25,q75,min,max,transform,center,scale,negative_count,gt_one_count
aa-lcr/aa-lcr/aa-lcr-1,16,0,0.0,0.8541667500000001,0.26269827829029924,1.0,0.666667,1.0,0.0,1.0,identity,1.0,0.333333,0,0
aa-lcr/aa-lcr/aa-lcr-10,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
aa-lcr/aa-lcr/aa-lcr-100,16,0,0.0,0.604166625,0.3166393765654145,0.666667,0.333333,1.0,0.0,1.0,identity,0.666667,0.666667,0,0
aa-lcr/aa-lcr/aa-lcr-11,16,0,0.0,0.66666675,0.3333333750000703,0.666667,0.5833335,1.0,0.0,1.0,identity,0.666667,0.41666650000000005,0,0
aa-lcr/aa-lcr/aa-lcr-12,16,0,0.0,0.770833375,0.347985280160468,1.0,0.666667,1.0,0.0,1.0,identity,1.0,0.333333,0,0
aa-lcr/aa-lcr/aa-lcr-13,16,0,0.0,0.854166625,0.2626984468137552,1.0,0.91666675,1.0,0.333333,1.0,identity,1.0,0.08333325000000003,0,0
aa-lcr/aa-lcr/aa-lcr-14,16,0,0.0,0.8958333125,0.2818281511326359,1.0,1.0,1.0,0.0,1.0,identity,1.0,0.2818281511326359,0,0
aa-lcr/aa-lcr/aa-lcr-15,16,0,0.0,0.6250000625000001,0.3307189847514935,0.666667,0.333333,1.0,0.0,1.0,identity,0.666667,0.666667,0,0
aa-lcr/aa-lcr/aa-lcr-16,16,0,0.0,0.6249999375,0.4061164930199322,0.8333335,0.333333,1.0,0.0,1.0,identity,0.8333335,0.666667,0,0
aa-lcr/aa-lcr/aa-lcr-17,16,0,0.0,0.6041666875,0.37673216959030037,0.666667,0.333333,1.0,0.0,1.0,identity,0.666667,0.666667,0,0
aa-lcr/aa-lcr/aa-lcr-18,16,0,0.0,0.0833333125,0.1863390074419869,0.0,0.0,0.0,0.0,0.666667,identity,0.0,0.1863390074419869,0,0
aa-lcr/aa-lcr/aa-lcr-19,16,0,0.0,0.72916675,0.3767320970088526,1.0,0.666667,1.0,0.0,1.0,identity,1.0,0.333333,0,0
aa-lcr/aa-lcr/aa-lcr-20,16,0,0.0,0.5416667500000001,0.4061164737828453,0.666667,0.0,1.0,0.0,1.0,identity,0.666667,1.0,0,0
aa-lcr/aa-lcr/aa-lcr-21,16,0,0.0,0.6250000625000001,0.40611645454574796,0.666667,0.24999975,1.0,0.0,1.0,identity,0.666667,0.75000025,0,0
aa-lcr/aa-lcr/aa-lcr-22,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
aa-lcr/aa-lcr/aa-lcr-23,16,0,0.0,0.7500000625000001,0.3435921405210087,1.0,0.666667,1.0,0.0,1.0,identity,1.0,0.333333,0,0
aa-lcr/aa-lcr/aa-lcr-24,16,0,0.0,0.2708333125,0.35782428595344085,0.0,0.0,0.4166665,0.0,1.0,identity,0.0,0.4166665,0,0
aa-lcr/aa-lcr/aa-lcr-25,16,0,0.0,0.125,0.23199024165307042,0.0,0.0,0.08333325,0.0,0.666667,identity,0.0,0.08333325,0,0
aa-lcr/aa-lcr/aa-lcr-26,16,0,0.0,0.0208333125,0.08068707235883481,0.0,0.0,0.0,0.0,0.333333,identity,0.0,0.08068707235883481,0,0
aa-lcr/aa-lcr/aa-lcr-27,16,0,0.0,0.5208333125,0.4559597868858227,0.5,0.0,1.0,0.0,1.0,identity,0.5,1.0,0,0
aa-lcr/aa-lcr/aa-lcr-28,16,0,0.0,0.7291666875,0.35782428595344085,1.0,0.5833335,1.0,0.0,1.0,identity,1.0,0.41666650000000005,0,0
aa-lcr/aa-lcr/aa-lcr-29,16,0,0.0,0.645833375,0.41614552617847445,0.8333335,0.24999975,1.0,0.0,1.0,identity,0.8333335,0.75000025,0,0
aa-lcr/aa-lcr/aa-lcr-3,16,0,0.0,0.75,0.36324161686438133,1.0,0.5833335,1.0,0.0,1.0,identity,1.0,0.41666650000000005,0,0
aa-lcr/aa-lcr/aa-lcr-30,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
aa-lcr/aa-lcr/aa-lcr-31,16,0,0.0,0.895833375,0.19432038353801018,1.0,0.91666675,1.0,0.333333,1.0,identity,1.0,0.08333325000000003,0,0
aa-lcr/aa-lcr/aa-lcr-32,16,0,0.0,0.729166625,0.37673217304652834,1.0,0.333333,1.0,0.0,1.0,identity,1.0,0.666667,0,0
aa-lcr/aa-lcr/aa-lcr-33,16,0,0.0,0.8750000625000001,0.2602081998932463,1.0,0.91666675,1.0,0.0,1.0,identity,1.0,0.08333325000000003,0,0
aa-lcr/aa-lcr/aa-lcr-34,16,0,0.0,0.8333333125,0.35355342005606427,1.0,1.0,1.0,0.0,1.0,identity,1.0,0.35355342005606427,0,0
aa-lcr/aa-lcr/aa-lcr-35,16,0,0.0,0.7708333125,0.327421604537773,1.0,0.5833335,1.0,0.0,1.0,identity,1.0,0.41666650000000005,0,0
aa-lcr/aa-lcr/aa-lcr-36,16,0,0.0,0.7291666875,0.3578242859534409,1.0,0.5833335,1.0,0.0,1.0,identity,1.0,0.41666650000000005,0,0
aa-lcr/aa-lcr/aa-lcr-37,16,0,0.0,0.8125000625,0.23477976345169443,1.0,0.666667,1.0,0.333333,1.0,identity,1.0,0.333333,0,0
aa-lcr/aa-lcr/aa-lcr-38,16,0,0.0,0.041666625,0.11023952772138663,0.0,0.0,0.0,0.0,0.333333,identity,0.0,0.11023952772138663,0,0
aa-lcr/aa-lcr/aa-lcr-39,16,0,0.0,0.8333333125,0.26352323058051225,1.0,0.666667,1.0,0.333333,1.0,identity,1.0,0.333333,0,0
aa-lcr/aa-lcr/aa-lcr-4,16,0,0.0,0.8541666875,0.234779785635582,1.0,0.666667,1.0,0.333333,1.0,identity,1.0,0.333333,0,0
aa-lcr/aa-lcr/aa-lcr-40,16,0,0.0,0.3541666875,0.3220756238297767,0.333333,0.0,0.666667,0.0,1.0,identity,0.333333,0.666667,0,0
aa-lcr/aa-lcr/aa-lcr-41,16,0,0.0,0.8750000625000001,0.2602081998932463,1.0,0.91666675,1.0,0.0,1.0,identity,1.0,0.08333325000000003,0,0
aa-lcr/aa-lcr/aa-lcr-42,16,0,0.0,0.8333333125,0.35355342005606427,1.0,1.0,1.0,0.0,1.0,identity,1.0,0.35355342005606427,0,0
aa-lcr/aa-lcr/aa-lcr-43,16,0,0.0,0.7291666875,0.31663931488243025,0.8333335,0.5833335,1.0,0.0,1.0,identity,0.8333335,0.41666650000000005,0,0
aa-lcr/aa-lcr/aa-lcr-44,16,0,0.0,0.2708333125,0.3578242859534409,0.0,0.0,0.4166665,0.0,1.0,identity,0.0,0.4166665,0,0
aa-lcr/aa-lcr/aa-lcr-45,16,0,0.0,0.770833375,0.3479852801604679,1.0,0.666667,1.0,0.0,1.0,identity,1.0,0.333333,0,0
aa-lcr/aa-lcr/aa-lcr-46,16,0,0.0,0.7500000625000001,0.38188129427439044,1.0,0.666667,1.0,0.0,1.0,identity,1.0,0.333333,0,0
aa-lcr/aa-lcr/aa-lcr-47,16,0,0.0,0.541666625,0.3703415137486066,0.5,0.333333,1.0,0.0,1.0,identity,0.5,0.666667,0,0
aa-lcr/aa-lcr/aa-lcr-48,16,0,0.0,0.5625000625,0.4521361480286481,0.666667,0.0,1.0,0.0,1.0,identity,0.666667,1.0,0,0
aa-lcr/aa-lcr/aa-lcr-49,16,0,0.0,0.291666625,0.3510896084968685,0.1666665,0.0,0.4166665,0.0,1.0,identity,0.1666665,0.4166665,0,0
aa-lcr/aa-lcr/aa-lcr-5,16,0,0.0,0.3958333125,0.33785997649224425,0.333333,0.0,0.666667,0.0,1.0,identity,0.333333,0.666667,0,0
aa-lcr/aa-lcr/aa-lcr-50,16,0,0.0,0.625,0.38864084748437727,0.666667,0.333333,1.0,0.0,1.0,identity,0.666667,0.666667,0,0
aa-lcr/aa-lcr/aa-lcr-51,16,0,0.0,0.75,0.36324161686438133,1.0,0.5833335,1.0,0.0,1.0,identity,1.0,0.41666650000000005,0,0
aa-lcr/aa-lcr/aa-lcr-52,16,0,0.0,0.33333331250000003,0.3908680155187808,0.1666665,0.0,0.666667,0.0,1.0,identity,0.1666665,0.666667,0,0
aa-lcr/aa-lcr/aa-lcr-53,16,0,0.0,0.8333333125,0.3118048379106149,1.0,0.91666675,1.0,0.0,1.0,identity,1.0,0.08333325000000003,0,0
aa-lcr/aa-lcr/aa-lcr-54,16,0,0.0,0.75,0.36324161686438133,1.0,0.5833335,1.0,0.0,1.0,identity,1.0,0.41666650000000005,0,0
aa-lcr/aa-lcr/aa-lcr-55,16,0,0.0,0.770833375,0.30547666247928723,1.0,0.666667,1.0,0.0,1.0,identity,1.0,0.333333,0,0
aa-lcr/aa-lcr/aa-lcr-56,16,0,0.0,0.8125,0.35293906855309315,1.0,0.91666675,1.0,0.0,1.0,identity,1.0,0.08333325000000003,0,0
aa-lcr/aa-lcr/aa-lcr-57,16,0,0.0,0.854166625,0.2626984468137552,1.0,0.91666675,1.0,0.333333,1.0,identity,1.0,0.08333325000000003,0,0
aa-lcr/aa-lcr/aa-lcr-58,16,0,0.0,0.8333333125,0.26352323058051225,1.0,0.666667,1.0,0.333333,1.0,identity,1.0,0.333333,0,0
aa-lcr/aa-lcr/aa-lcr-59,16,0,0.0,0.625,0.4228705147231833,0.8333335,0.24999975,1.0,0.0,1.0,identity,0.8333335,0.75000025,0,0
aa-lcr/aa-lcr/aa-lcr-6,16,0,0.0,0.7083334374999999,0.37034142233518264,0.8333335,0.666667,1.0,0.0,1.0,identity,0.8333335,0.333333,0,0
aa-lcr/aa-lcr/aa-lcr-60,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
aa-lcr/aa-lcr/aa-lcr-61,16,0,0.0,0.72916675,0.293890362446504,0.666667,0.666667,1.0,0.0,1.0,identity,0.666667,0.333333,0,0
aa-lcr/aa-lcr/aa-lcr-62,16,0,0.0,0.8125,0.26269841707436115,1.0,0.666667,1.0,0.333333,1.0,identity,1.0,0.333333,0,0
aa-lcr/aa-lcr/aa-lcr-63,16,0,0.0,0.729166625,0.3378599803461256,1.0,0.333333,1.0,0.0,1.0,identity,1.0,0.666667,0,0
aa-lcr/aa-lcr/aa-lcr-64,16,0,0.0,0.8749999374999999,0.26020838003739155,1.0,1.0,1.0,0.333333,1.0,identity,1.0,0.26020838003739155,0,0
aa-lcr/aa-lcr/aa-lcr-65,16,0,0.0,0.9166666875,0.1863390074419869,1.0,1.0,1.0,0.333333,1.0,identity,1.0,0.1863390074419869,0,0
aa-lcr/aa-lcr/aa-lcr-66,16,0,0.0,0.6041666875,0.44439020621742426,0.8333335,0.0,1.0,0.0,1.0,identity,0.8333335,1.0,0,0
aa-lcr/aa-lcr/aa-lcr-67,16,0,0.0,0.5625001249999999,0.40343579750483144,0.666667,0.0,1.0,0.0,1.0,identity,0.666667,1.0,0,0
aa-lcr/aa-lcr/aa-lcr-68,16,0,0.0,0.8750000625000001,0.26020819989324623,1.0,0.91666675,1.0,0.0,1.0,identity,1.0,0.08333325000000003,0,0
aa-lcr/aa-lcr/aa-lcr-69,16,0,0.0,0.6458333125,0.3626437250997387,0.666667,0.333333,1.0,0.0,1.0,identity,0.666667,0.666667,0,0
aa-lcr/aa-lcr/aa-lcr-7,16,0,0.0,0.5625000625000001,0.42029671955097225,0.666667,0.0,1.0,0.0,1.0,identity,0.666667,1.0,0,0
aa-lcr/aa-lcr/aa-lcr-70,16,0,0.0,0.833333375,0.288675134594858,1.0,0.666667,1.0,0.0,1.0,identity,1.0,0.333333,0,0
aa-lcr/aa-lcr/aa-lcr-71,16,0,0.0,0.4583333125,0.4841229236550773,0.1666665,0.0,1.0,0.0,1.0,identity,0.1666665,1.0,0,0
aa-lcr/aa-lcr/aa-lcr-72,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,identity,0.0,1.0,0,0
aa-lcr/aa-lcr/aa-lcr-73,16,0,0.0,0.20833331249999998,0.3090083068148652,0.0,0.0,0.333333,0.0,1.0,identity,0.0,0.333333,0,0
aa-lcr/aa-lcr/aa-lcr-74,16,0,0.0,0.6458333125,0.3626437250997387,0.666667,0.333333,1.0,0.0,1.0,identity,0.666667,0.666667,0,0
aa-lcr/aa-lcr/aa-lcr-75,16,0,0.0,0.875,0.28565229932756536,1.0,1.0,1.0,0.0,1.0,identity,1.0,0.28565229932756536,0,0
aa-lcr/aa-lcr/aa-lcr-76,16,0,0.0,0.416666625,0.3996526703832772,0.333333,0.0,0.75000025,0.0,1.0,identity,0.333333,0.75000025,0,0
aa-lcr/aa-lcr/aa-lcr-77,16,0,0.0,0.7708333125,0.36739987888806497,1.0,0.5833335,1.0,0.0,1.0,identity,1.0,0.41666650000000005,0,0
aa-lcr/aa-lcr/aa-lcr-78,16,0,0.0,0.041666625,0.11023952772138663,0.0,0.0,0.0,0.0,0.333333,identity,0.0,0.11023952772138663,0,0
aa-lcr/aa-lcr/aa-lcr-79,16,0,0.0,0.7708333125,0.327421604537773,1.0,0.5833335,1.0,0.0,1.0,identity,1.0,0.41666650000000005,0,0
aa-lcr/aa-lcr/aa-lcr-8,16,0,0.0,0.72916675,0.3378598955599976,0.8333335,0.666667,1.0,0.0,1.0,identity,0.8333335,0.333333,0,0
aa-lcr/aa-lcr/aa-lcr-80,16,0,0.0,0.145833375,0.2626984468137552,0.0,0.0,0.08333325,0.0,0.666667,identity,0.0,0.08333325,0,0
aa-lcr/aa-lcr/aa-lcr-81,16,0,0.0,0.2708333125,0.26922609799263486,0.333333,0.0,0.4166665,0.0,0.666667,identity,0.333333,0.4166665,0,0
aa-lcr/aa-lcr/aa-lcr-82,16,0,0.0,0.9166666875,0.24999997916667882,1.0,1.0,1.0,0.0,1.0,identity,1.0,0.24999997916667882,0,0
aa-lcr/aa-lcr/aa-lcr-83,16,0,0.0,0.8750000625000001,0.19982628306308606,1.0,0.666667,1.0,0.333333,1.0,identity,1.0,0.333333,0,0
aa-lcr/aa-lcr/aa-lcr-84,16,0,0.0,0.7708334374999999,0.28182809569109873,0.8333335,0.666667,1.0,0.0,1.0,identity,0.8333335,0.333333,0,0
aa-lcr/aa-lcr/aa-lcr-85,16,0,0.0,0.833333375,0.288675134594858,1.0,0.666667,1.0,0.0,1.0,identity,1.0,0.333333,0,0
aa-lcr/aa-lcr/aa-lcr-86,16,0,0.0,0.20833325,0.23199019675179702,0.1666665,0.0,0.333333,0.0,0.666667,identity,0.1666665,0.333333,0,0
aa-lcr/aa-lcr/aa-lcr-87,16,0,0.0,0.2708331875,0.3166392244140441,0.333333,0.0,0.333333,0.0,1.0,identity,0.333333,0.333333,0,0
aa-lcr/aa-lcr/aa-lcr-88,16,0,0.0,0.39583325,0.3166393354434387,0.333333,0.24999975,0.666667,0.0,1.0,identity,0.333333,0.41666725000000004,0,0
aa-lcr/aa-lcr/aa-lcr-89,16,0,0.0,0.7916666875,0.35108958624468606,1.0,0.666667,1.0,0.0,1.0,identity,1.0,0.333333,0,0
aa-lcr/aa-lcr/aa-lcr-9,16,0,0.0,0.520833375,0.4404661652253887,0.666667,0.0,1.0,0.0,1.0,identity,0.666667,1.0,0,0
aa-lcr/aa-lcr/aa-lcr-90,16,0,0.0,0.1041666875,0.22726491784251446,0.0,0.0,0.0,0.0,0.666667,identity,0.0,0.22726491784251446,0,0
aa-lcr/aa-lcr/aa-lcr-91,16,0,0.0,0.8124999374999999,0.3326817446587408,1.0,0.83333325,1.0,0.0,1.0,identity,1.0,0.16666674999999997,0,0
aa-lcr/aa-lcr/aa-lcr-92,16,0,0.0,0.375,0.4545296867214781,0.0,0.0,1.0,0.0,1.0,identity,0.0,1.0,0,0
aa-lcr/aa-lcr/aa-lcr-93,16,0,0.0,0.9166666875,0.24999997916667882,1.0,1.0,1.0,0.0,1.0,identity,1.0,0.24999997916667882,0,0
aa-lcr/aa-lcr/aa-lcr-94,16,0,0.0,0.5624999374999999,0.45213616530773515,0.6666665,0.0,1.0,0.0,1.0,identity,0.6666665,1.0,0,0
aa-lcr/aa-lcr/aa-lcr-95,16,0,0.0,0.2708333125,0.3578242859534409,0.0,0.0,0.4166665,0.0,1.0,identity,0.0,0.4166665,0,0
aa-lcr/aa-lcr/aa-lcr-96,16,0,0.0,0.895833375,0.19432038353801018,1.0,0.91666675,1.0,0.333333,1.0,identity,1.0,0.08333325000000003,0,0
