task_column,benchmark,task_id,observed_count,missing_count,missing_fraction,observed_mean,observed_std,observed_min,observed_max,imputed_mean,imputed_normalized_mean,imputed_normalized_std,strength_correlation,difficulty_tier,negative_count,gt_one_count
aa-lcr/aa-lcr/aa-lcr-1,aa-lcr,aa-lcr/aa-lcr-1,16,0,0.0,0.8541667500000001,0.26269827829029924,0.0,1.0,0.8541667500000001,0.8541667500000001,0.26269827829029924,0.5185642689014706,easy,0,0
aa-lcr/aa-lcr/aa-lcr-10,aa-lcr,aa-lcr/aa-lcr-10,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,frontier,0,0
aa-lcr/aa-lcr/aa-lcr-100,aa-lcr,aa-lcr/aa-lcr-100,16,0,0.0,0.604166625,0.3166393765654145,0.0,1.0,0.604166625,0.604166625,0.3166393765654145,0.2307270013041054,medium,0,0
aa-lcr/aa-lcr/aa-lcr-11,aa-lcr,aa-lcr/aa-lcr-11,16,0,0.0,0.66666675,0.3333333750000703,0.0,1.0,0.66666675,0.66666675,0.3333333750000703,0.3434895317818422,medium,0,0
aa-lcr/aa-lcr/aa-lcr-12,aa-lcr,aa-lcr/aa-lcr-12,16,0,0.0,0.770833375,0.347985280160468,0.0,1.0,0.770833375,0.770833375,0.347985280160468,0.1348650622226604,easy,0,0
aa-lcr/aa-lcr/aa-lcr-13,aa-lcr,aa-lcr/aa-lcr-13,16,0,0.0,0.854166625,0.2626984468137552,0.333333,1.0,0.854166625,0.854166625,0.2626984468137552,0.5004647511760258,easy,0,0
aa-lcr/aa-lcr/aa-lcr-14,aa-lcr,aa-lcr/aa-lcr-14,16,0,0.0,0.8958333125,0.2818281511326359,0.0,1.0,0.8958333125,0.8958333125,0.2818281511326359,0.33020113271464646,easy,0,0
aa-lcr/aa-lcr/aa-lcr-15,aa-lcr,aa-lcr/aa-lcr-15,16,0,0.0,0.6250000625000001,0.3307189847514935,0.0,1.0,0.6250000625000001,0.6250000625000001,0.3307189847514935,0.3529226632340794,medium,0,0
aa-lcr/aa-lcr/aa-lcr-16,aa-lcr,aa-lcr/aa-lcr-16,16,0,0.0,0.6249999375,0.4061164930199322,0.0,1.0,0.6249999375,0.6249999375,0.4061164930199322,0.6349326362743808,medium,0,0
aa-lcr/aa-lcr/aa-lcr-17,aa-lcr,aa-lcr/aa-lcr-17,16,0,0.0,0.6041666875,0.37673216959030037,0.0,1.0,0.6041666875,0.6041666875,0.37673216959030037,0.5700525314486751,medium,0,0
aa-lcr/aa-lcr/aa-lcr-18,aa-lcr,aa-lcr/aa-lcr-18,16,0,0.0,0.0833333125,0.1863390074419869,0.0,0.666667,0.0833333125,0.0833333125,0.1863390074419869,-0.04810553844619442,hard,0,0
aa-lcr/aa-lcr/aa-lcr-19,aa-lcr,aa-lcr/aa-lcr-19,16,0,0.0,0.72916675,0.3767320970088526,0.0,1.0,0.72916675,0.72916675,0.3767320970088526,0.8246940400209545,easy,0,0
aa-lcr/aa-lcr/aa-lcr-20,aa-lcr,aa-lcr/aa-lcr-20,16,0,0.0,0.5416667500000001,0.4061164737828453,0.0,1.0,0.5416667500000001,0.5416667500000001,0.4061164737828453,0.535209023861465,medium,0,0
aa-lcr/aa-lcr/aa-lcr-21,aa-lcr,aa-lcr/aa-lcr-21,16,0,0.0,0.6250000625000001,0.40611645454574796,0.0,1.0,0.6250000625000001,0.6250000625000001,0.40611645454574796,0.752269462208217,medium,0,0
aa-lcr/aa-lcr/aa-lcr-22,aa-lcr,aa-lcr/aa-lcr-22,16,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,frontier,0,0
aa-lcr/aa-lcr/aa-lcr-23,aa-lcr,aa-lcr/aa-lcr-23,16,0,0.0,0.7500000625000001,0.3435921405210087,0.0,1.0,0.7500000625000001,0.7500000625000001,0.3435921405210087,0.6399420996663076,easy,0,0
aa-lcr/aa-lcr/aa-lcr-24,aa-lcr,aa-lcr/aa-lcr-24,16,0,0.0,0.2708333125,0.35782428595344085,0.0,1.0,0.2708333125,0.2708333125,0.35782428595344085,-0.12325892656242196,hard,0,0
aa-lcr/aa-lcr/aa-lcr-25,aa-lcr,aa-lcr/aa-lcr-25,16,0,0.0,0.125,0.23199024165307042,0.0,0.666667,0.125,0.125,0.23199024165307042,-0.5707190934486482,hard,0,0
aa-lcr/aa-lcr/aa-lcr-26,aa-lcr,aa-lcr/aa-lcr-26,16,0,0.0,0.0208333125,0.08068707235883481,0.0,0.333333,0.0208333125,0.0208333125,0.08068707235883481,0.220550961257328,frontier,0,0
