2.0.0a0  (From: swe_bench_multilingual.json)
ab-shetty/mids-officeqa-alpha  (From: officeqa.json)
ab-shetty/mids-officeqa-beta  (From: officeqa.json)
Abacus AI Desktop  (From: terminalbench_2_0.json)
ACoder  (From: swe_bench_verified.json)
Act  (From: crmarena.json)
AEGIS  (From: swt_bench.json)
Agentica custom scaffold  (From: browsecomp_plus.json)
AgenticData  (From: spider_2.json)
AgenticView  (From: spider_2.json)
Agentless  (From: swe_bench_live.json, swe_bench_verified.json, swe_perf.json, swe_smith.json)
Agentless Lite  (From: swe_bench_verified.json)
Agentless-1.5  (From: swe_bench_verified.json)
Agentless; train size 11M  (From: swe_smith.json)
AgentScope  (From: swe_bench_verified.json)
AiCheng Agent  (From: spider_2.json)
AIDE-PDE  (From: codepde.json)
aider  (From: aider_polyglot.json, sldbench.json)
Aider  (From: devopsgym.json, swe_bench_verified.json, swt_bench.json, webgenbench.json)
Aime-coder v1  (From: swe_bench_verified.json)
AlgoTuner  (From: algotune.json)
Amazon Nova Premier 1.0 (2025-04-30)  (From: swe_bench_verified.json)
Amazon Q Developer Agent  (From: swt_bench.json)
Amazon Q Developer Agent (v20240430-dev)  (From: swe_bench_verified.json)
Amazon Q Developer Agent (v20240719-dev)  (From: swe_bench_verified.json)
Amazon Q Developer Agent (v20241202-dev)  (From: swe_bench_verified.json)
Amazon Q Developer Agent (v20250405-dev)  (From: swe_bench_verified.json)
Ante  (From: terminalbench_2_0.json)
Anthropic Agent  (From: cybergym.json)
APEX-SQL  (From: spider_2.json)
AppMap Navie  (From: swe_bench_verified.json)
AppMap Navie v2  (From: swe_bench_verified.json)
Arctic-FLEX  (From: spider_2.json)
Artemis Agent v1 (2024-11-20)  (From: swe_bench_verified.json)
Artemis Agent v2 (2025-09-24)  (From: swe_bench_verified.json)
Ask Data with Relational Knowledge Graph  (From: spider_2.json)
AssertFlip  (From: swt_bench.json)
Atlassian Rovo Dev (2025-09-02)  (From: swe_bench_verified.json)
Augment Agent v0  (From: swe_bench_verified.json)
Augment Agent v1  (From: swe_bench_verified.json)
AutoCodeRover  (From: swe_bench_verified.json, swe_smith.json, swt_bench.json)
AutoCodeRover (v20240620)  (From: swe_bench_verified.json)
AutoCodeRover-v2.0 (Claude-3.5-Sonnet-20241022)  (From: swe_bench_verified.json)
AutoCodeRover-v2.1 (Claude-3.5-Sonnet-20241022)  (From: swe_bench_verified.json)
AutoEval  (From: spider_2.json)
AutoGPT  (From: gaia.json)
AutoLink  (From: spider_2.json)
Aviary (SimpleAgent)  (From: bix_bench.json)
Barcelona v0.1  (From: gaia.json)
BasicAgent  (From: paperbench.json)
BasicAgent (Code-Dev)  (From: paperbench.json)
BasicAgent, 3-paper subset  (From: paperbench.json)
best@3, 3-paper subset  (From: paperbench.json)
best@3, 48 hours, 3-paper subset  (From: paperbench.json)
Blackbox AI Agent  (From: swe_bench_verified.json)
Bloop  (From: swe_bench_verified.json)
Bolt.diy  (From: webgenbench.json)
Bolt.diy (Manual)  (From: webgenbench.json)
Bolt.diy (UI Agent)  (From: webgenbench.json)
Bolt.diy; fine-tuned Qwen2.5-Coder-32B on 150 trajectories  (From: webgenbench.json)
Bolt.diy; fine-tuned Qwen2.5-Coder-32B on 300 trajectories  (From: webgenbench.json)
Bolt.diy; fine-tuned Qwen2.5-Coder-32B on 600 trajectories  (From: webgenbench.json)
Bracket.sh  (From: swe_bench_verified.json)
BrowseComp-Plus standard search scaffold  (From: browsecomp_plus.json)
ByteBrain-Agent  (From: spider_2.json)
Bytedance MarsCode Agent  (From: swe_bench_verified.json)
CAMEL-AI  (From: terminalbench_2_0.json)
Capy  (From: terminalbench_2_0.json)
cchuter  (From: terminalbench_2_0.json)
Chat2DB-Agent  (From: spider_2.json)
CHESS  (From: spider_2.json)
Chicory AI Agent  (From: spider_2.json)
Claude Mythos Preview  (From: swe_bench_verified.json)
Co-Sight_v2.0.0  (From: gaia.json)
Co-Sight_v2.0.1  (From: gaia.json)
Co-Sight_v2.1.0  (From: gaia.json)
CodeBrain-1  (From: terminalbench_2_0.json)
CodePDE (Reasoning + Debugging + Refinement, best-of-12)  (From: codepde.json)
CodeR  (From: spider_2.json)
CodeShellAgent  (From: swe_bench_verified.json)
CodeStory Midwit Agent  (From: swe_bench_verified.json)
CodeSweep - SWE-agent - Kimi K2 Instruct  (From: swe_bench_verified.json)
CoFD-SQL  (From: spider_2.json)
CollideNL2SQL  (From: spider_2.json)
Composio SWE-Kit (2024-10-25)  (From: swe_bench_verified.json)
Composio SWEkit  (From: swe_bench_verified.json)
Crux  (From: terminalbench_2_0.json)
CT-ChatBI  (From: spider_2.json)
Cursor CLI  (From: swe_fficiency.json)
Cybench  (From: cybergym.json)
DA-Agent  (From: da_code.json)
DAIL-SQL  (From: spider_2.json)
Dail-SQL  (From: spider_2.json)
DailSQL  (From: spider_2.json)
Dakou Agent  (From: terminalbench_2_0.json)
DAQUV_QUVI_Agent  (From: spider_2.json)
Databao Agent  (From: spider_2.json)
Decide Agent  (From: spreadsheetbench.json)
Deep Agents  (From: terminalbench_2_0.json)
DeepSWE-Preview  (From: swe_bench_verified.json)
devlo  (From: swe_bench_verified.json)
DevstralTestGen  (From: swt_bench.json)
DIN-SQL  (From: spider_2.json)
Droid  (From: terminalbench_2_0.json)
DSR-SQL  (From: spider_2.json)
DSR-SQL (w/o voting)  (From: spider_2.json)
Duo  (From: spider_2.json)
e-Otter++  (From: swt_bench.json)
E2E System, Avg@4  (From: widesearch.json)
Emergent E1 (v2024-10-12)  (From: swe_bench_verified.json)
Emergent E1 (v2024-12-23)  (From: swe_bench_verified.json)
Engine Labs (2024-11-25)  (From: swe_bench_verified.json)
ENiGMA  (From: cybergym.json)
EntroPO  (From: swe_bench_verified.json)
EPAM AI/Run Developer Agent  (From: swe_bench_verified.json)
EPAM AI/Run Developer Agent v20241029  (From: swe_bench_verified.json)
EPAM AI/Run Developer Agent v20241212  (From: swe_bench_verified.json)
EPAM AI/Run Developer Agent v20250219  (From: swe_bench_verified.json)
EPAM AI/Run Developer Agent v20250719  (From: swe_bench_verified.json)
Episodic + Reflexion  (From: usaco.json)
Episodic + Semantic  (From: usaco.json)
Episodic Retrieval  (From: usaco.json)
EXA-SQL  (From: spider_2.json)
Factory Code Droid  (From: swe_bench_verified.json)
ForgeCode  (From: terminalbench_2_0.json)
FRIDAY  (From: gaia.json)
FrogBoss-32B-2510  (From: swe_bench_verified.json)
FrogMini-14B-2510  (From: swe_bench_verified.json)
FunSearch-PDE  (From: codepde.json)
Genloop's Sentinel Agent v1.5  (From: spider_2.json)
Genloop's Sentinel Agent v2  (From: spider_2.json)
Genloop's Sentinel Agent v2 Pro  (From: spider_2.json)
GLM-4.5  (From: swe_bench_verified.json)
GLM-4.6  (From: swe_bench_verified.json)
Google Jules  (From: swe_bench_verified.json)
goose  (From: sldbench.json)
Goose  (From: terminalbench_2_0.json)
GPT-4 + plugins (human-selected)  (From: gaia.json)
gpt-oss native toolset  (From: browsecomp_plus.json)
GRASP + Reforce  (From: spider_2.json)
grok-cli  (From: terminalbench_2_0.json)
Gru(2024-08-24)  (From: swe_bench_verified.json)
Gru(2024-12-08)  (From: swe_bench_verified.json)
h2oGPTe Agent v1.6.27 | March 17 original date  (From: gaia.json)
h2oGPTe Agent v1.6.33  (From: gaia.json)
h2oGPTe Agent v1.6.44  (From: gaia.json)
h2oGPTe Agent v1.6.8  (From: gaia.json)
