pool_rank,benchmark,task_id,task_column,candidate_reason,mix_selection_score,final_priority_score,difficulty_tier,difficulty_signal,representative_signal,unique_unpredictable_signal,discrimination_signal,observed_count,imputed_mean,observed_mean,observed_std,strength_correlation,useful_representativeness_score,task_unpredictability_score,representative_rank_within_benchmark,unique_rank_within_benchmark,composite_rank_within_benchmark,base_representative_task,difficult_task,frontier_task_with_signal,unique_unpredictable_task,high_composite_task
1,aa-lcr,aa-lcr/aa-lcr-29,aa-lcr/aa-lcr/aa-lcr-29,base_representative;high_composite,0.6666606117625725,0.7266606117625725,medium,0.35416662499999996,1.0,0.3670212765957447,0.9090909090909091,16,0.645833375,0.645833375,0.4161455261784744,0.7058481211813432,0.3335552222261636,0.14688539949987722,1.0,60.0,9.0,True,False,False,False,True
2,aa-lcr,aa-lcr/aa-lcr-19,aa-lcr/aa-lcr/aa-lcr-19,base_representative,0.5800390668520309,0.6400390668520308,easy,0.27083325,0.9893617021276596,0.19148936170212766,0.7878787878787878,16,0.72916675,0.72916675,0.3767320970088526,0.8246940400209545,0.32518314313639757,0.07021360998493387,2.0,77.0,19.0,True,False,False,False,False
3,aa-lcr,aa-lcr/aa-lcr-92,aa-lcr/aa-lcr/aa-lcr-92,unique_unpredictable;high_composite,0.7479005480335268,0.7879005480335268,medium,0.625,0.6702127659574468,0.8404255319148937,0.9797979797979798,16,0.375,0.375,0.4545296867214781,0.4223280311893105,0.23072742618835504,0.3134257984377662,32.0,16.0,1.0,False,False,False,True,True
4,aa-lcr,aa-lcr/aa-lcr-95,aa-lcr/aa-lcr/aa-lcr-95,difficult;unique_unpredictable;high_composite,0.6547368685223243,0.7347368685223243,hard,0.7291666875,0.3829787234042553,0.9414893617021277,0.6868686868686869,16,0.2708333125,0.2708333125,0.3578242859534409,0.1510908440022948,0.1580006041525159,0.39400370486335234,59.0,6.0,12.0,False,True,False,True,True
5,aa-lcr,aa-lcr/aa-lcr-52,aa-lcr/aa-lcr/aa-lcr-52,unique_unpredictable;high_composite,0.6844455242283204,0.7244455242283204,medium,0.6666666875,0.5425531914893617,0.8085106382978723,0.8383838383838383,16,0.3333333125,0.3333333125,0.3908680155187808,0.4944978068596239,0.20276928602663266,0.2926884569731044,44.0,19.0,5.0,False,False,False,True,True
6,aa-lcr,aa-lcr/aa-lcr-9,aa-lcr/aa-lcr/aa-lcr-9,high_composite,0.7170837258824951,0.7170837258824951,medium,0.47916662499999996,0.9468085106382979,0.5,0.9393939393939394,16,0.520833375,0.520833375,0.4404661652253887,0.686837933711304,0.3143681125573035,0.17854137467036524,6.0,48.0,2.0,False,False,False,False,True
7,aa-lcr,aa-lcr/aa-lcr-27,aa-lcr/aa-lcr/aa-lcr-27,high_composite,0.706042477806657,0.706042477806657,medium,0.4791666875,0.7872340425531915,0.648936170212766,0.98989898989899,16,0.5208333125,0.5208333125,0.4559597868858227,0.4312419577824493,0.2568080102978178,0.2426792413801544,21.0,34.0,3.0,False,False,False,False,True
8,aa-lcr,aa-lcr/aa-lcr-71,aa-lcr/aa-lcr/aa-lcr-71,high_composite,0.7003102888962766,0.7003102888962766,medium,0.5416666875,0.851063829787234,0.46808510638297873,1.0,16,0.4583333125,0.4583333125,0.4841229236550773,0.6023401186062709,0.29069592333179267,0.16112946794686567,15.0,51.0,4.0,False,False,False,False,True
9,aa-lcr,aa-lcr/aa-lcr-21,aa-lcr/aa-lcr/aa-lcr-21,high_composite,0.6835468895974371,0.6835468895974371,medium,0.37499993749999994,0.9361702127659575,0.5212765957446809,0.8787878787878788,16,0.6250000625000001,0.6250000625000001,0.4061164545457479,0.752269462208217,0.3080868927146981,0.1916046980373436,7.0,46.0,6.0,False,False,False,False,True
10,aa-lcr,aa-lcr/aa-lcr-20,aa-lcr/aa-lcr/aa-lcr-20,high_composite,0.6753102628546098,0.6753102628546098,medium,0.4583332499999999,0.723404255319149,0.6968085106382979,0.8888888888888888,16,0.5416667500000001,0.5416667500000001,0.4061164737828453,0.535209023861465,0.2497302019884255,0.26323878294926695,27.0,29.0,7.0,False,False,False,False,True
11,aa-lcr,aa-lcr/aa-lcr-48,aa-lcr/aa-lcr/aa-lcr-48,high_composite,0.6743250166122662,0.6743250166122662,medium,0.43749993750000005,0.925531914893617,0.3882978723404255,0.9595959595959596,16,0.5625000625,0.5625000625,0.4521361480286481,0.6833607112157798,0.30755902926870504,0.15378480468473854,8.0,59.0,8.0,False,False,False,False,True
12,aa-lcr,aa-lcr/aa-lcr-44,aa-lcr/aa-lcr/aa-lcr-44,difficult;unique_unpredictable,0.5930347408627499,0.67303474086275,hard,0.7291666875,0.24468085106382978,0.8882978723404256,0.6868686868686869,16,0.2708333125,0.2708333125,0.3578242859534409,0.2263410840126631,0.12328708602691982,0.3602657307081546,72.0,11.0,17.0,False,True,False,True,False
13,aa-lcr,aa-lcr/aa-lcr-94,aa-lcr/aa-lcr/aa-lcr-94,high_composite,0.6638721142710349,0.6638721142710349,medium,0.43750006250000006,0.6595744680851063,0.7127659574468085,0.9696969696969697,16,0.5624999374999999,0.5624999374999999,0.4521361653077351,0.488298815791831,0.22997835618610935,0.26724382213883946,33.0,28.0,10.0,False,False,False,False,True
14,aa-lcr,aa-lcr/aa-lcr-59,aa-lcr/aa-lcr/aa-lcr-59,high_composite,0.660005641521599,0.660005641521599,medium,0.375,0.9042553191489362,0.44148936170212766,0.9292929292929293,16,0.625,0.625,0.4228705147231833,0.6340176175565281,0.30345242087723184,0.15668905776564201,10.0,54.0,11.0,False,False,False,False,True
15,aa-lcr,aa-lcr/aa-lcr-49,aa-lcr/aa-lcr/aa-lcr-49,difficult;unique_unpredictable,0.5647203521316893,0.6447203521316893,hard,0.708333375,0.1595744680851064,0.9574468085106383,0.6161616161616161,16,0.291666625,0.291666625,0.3510896084968685,0.0422863660564023,0.08968824459705092,0.4126744101230905,80.0,5.0,22.0,False,True,False,True,False
16,aa-lcr,aa-lcr/aa-lcr-87,aa-lcr/aa-lcr/aa-lcr-87,difficult;unique_unpredictable,0.5603945400044327,0.6403945400044327,hard,0.7291668124999999,0.2553191489361702,0.8882978723404256,0.4444444444444444,16,0.2708331875,0.2708331875,0.3166392244140441,0.3309480815966629,0.12441205187590208,0.3602657307081546,71.0,12.0,25.0,False,True,False,True,False
17,aa-lcr,aa-lcr/aa-lcr-7,aa-lcr/aa-lcr/aa-lcr-7,high_composite,0.6344878148069792,0.6344878148069792,medium,0.43749993749999994,0.8936170212765957,0.2978723404255319,0.9191919191919192,16,0.5625000625000001,0.5625000625000001,0.4202967195509722,0.6147212050381762,0.30061560560791833,0.12555111942426056,11.0,67.0,13.0,False,False,False,False,True
18,aa-lcr,aa-lcr/aa-lcr-50,aa-lcr/aa-lcr/aa-lcr-50,high_composite,0.6286307221147647,0.6286307221147647,medium,0.375,0.7553191489361702,0.5851063829787234,0.8282828282828283,16,0.625,0.625,0.3886408474843772,0.419446001497689,0.2543521981725094,0.23222407295727976,24.0,40.0,14.0,False,False,False,False,True
19,aa-lcr,aa-lcr/aa-lcr-98,aa-lcr/aa-lcr/aa-lcr-98,difficult;unique_unpredictable,0.5477877332265474,0.6277877332265475,hard,0.8750000625,0.1702127659574468,0.9414893617021277,0.22727272727272727,16,0.1249999375,0.1249999375,0.2602081998932462,0.2693148959373098,0.09318528235190414,0.39400370486335234,79.0,7.0,28.0,False,True,False,True,False
20,aa-lcr,aa-lcr/aa-lcr-73,aa-lcr/aa-lcr/aa-lcr-73,difficult;unique_unpredictable,0.546659418490087,0.6266594184900871,hard,0.7916666875000001,0.19148936170212766,0.8723404255319149,0.42424242424242425,16,0.2083333124999999,0.2083333124999999,0.3090083068148652,0.3011365430420837,0.10353481351407826,0.3385049681373825,77.0,13.0,29.0,False,True,False,True,False
21,aa-lcr,aa-lcr/aa-lcr-16,aa-lcr/aa-lcr/aa-lcr-16,high_composite,0.6198219047288039,0.6198219047288039,medium,0.37500006249999995,0.8404255319148937,0.3882978723404255,0.898989898989899,16,0.6249999375,0.6249999375,0.4061164930199322,0.6349326362743808,0.28805654292554106,0.15378480468473854,16.0,58.0,15.0,False,False,False,False,True
22,aa-lcr,aa-lcr/aa-lcr-90,aa-lcr/aa-lcr/aa-lcr-90,difficult;unique_unpredictable,0.5371917259328659,0.617191725932866,hard,0.8958333125,0.1276595744680851,0.9893617021276596,0.1414141414141414,16,0.1041666875,0.1041666875,0.2272649178425144,0.2411377030325295,0.07169796525170082,0.4604037317970695,83.0,2.0,30.0,False,True,False,True,False
23,aa-lcr,aa-lcr/aa-lcr-99,aa-lcr/aa-lcr/aa-lcr-99,unique_unpredictable,0.5614865409413281,0.6014865409413281,medium,0.4375,0.26595744680851063,0.9148936170212766,0.8686868686868687,16,0.5625,0.5625,0.4034358168697655,0.0433703275558894,0.1259980705242359,0.37858984273878615,70.0,9.0,24.0,False,False,False,True,False
24,aa-lcr,aa-lcr/aa-lcr-76,aa-lcr/aa-lcr/aa-lcr-76,unique_unpredictable,0.5550209646397486,0.5950209646397486,medium,0.583333375,0.10638297872340426,0.9787234042553191,0.8484848484848485,16,0.416666625,0.416666625,0.3996526703832772,-0.0878080218338122,0.04680540744646896,0.42123079217225834,85.0,3.0,27.0,False,False,False,True,False
25,aa-lcr,aa-lcr/aa-lcr-38,aa-lcr/aa-lcr/aa-lcr-38,difficult;frontier_with_variance;unique_unpredictable,0.46690442692214695,0.5869044269221471,frontier,0.958333375,0.031914893617021274,0.8191489361702128,0.07575757575757576,16,0.041666625,0.041666625,0.1102395277213866,-0.5405844823145141,0.010641942890869196,0.3025701794522754,92.0,18.0,62.0,False,True,True,True,False
26,aa-lcr,aa-lcr/aa-lcr-80,aa-lcr/aa-lcr/aa-lcr-80,difficult;unique_unpredictable,0.49995364851305607,0.5799536485130561,hard,0.854166625,0.09574468085106383,0.8297872340425532,0.30303030303030304,16,0.145833375,0.145833375,0.2626984468137552,-0.1063234440602396,0.04202481382674542,0.30935834807001605,86.0,17.0,39.0,False,True,False,True,False
27,aa-lcr,aa-lcr/aa-lcr-40,aa-lcr/aa-lcr/aa-lcr-40,unique_unpredictable,0.5363132604267408,0.5763132604267408,medium,0.6458333125,0.20212765957446807,0.925531914893617,0.48484848484848486,16,0.3541666875,0.3541666875,0.3220756238297767,0.0516742280998553,0.11149877700128843,0.3802417746613779,76.0,8.0,31.0,False,False,False,True,False
28,aa-lcr,aa-lcr/aa-lcr-81,aa-lcr/aa-lcr/aa-lcr-81,difficult;unique_unpredictable,0.4907217170071728,0.5707217170071729,hard,0.7291666875,0.0425531914893617,0.9680851063829787,0.3434343434343434,16,0.2708333125,0.2708333125,0.2692260979926348,-0.2331451711021306,0.01145378552784402,0.42043408296037277,91.0,4.0,44.0,False,True,False,True,False
29,aa-lcr,aa-lcr/aa-lcr-88,aa-lcr/aa-lcr/aa-lcr-88,unique_unpredictable,0.528717380601225,0.568717380601225,medium,0.60416675,0.23404255319148937,0.9042553191489362,0.46464646464646464,16,0.39583325,0.39583325,0.3166393354434387,0.4441684183110139,0.12305444583781759,0.3707848794064331,73.0,10.0,34.0,False,False,False,True,False
30,aa-lcr,aa-lcr/aa-lcr-18,aa-lcr/aa-lcr/aa-lcr-18,difficult;unique_unpredictable,0.4813265687157479,0.5613265687157479,hard,0.9166666875,0.06382978723404255,0.8617021276595744,0.09595959595959595,16,0.0833333125,0.0833333125,0.1863390074419869,-0.0481055384461944,0.01873215628138783,0.33065047993389474,89.0,14.0,49.0,False,True,False,True,False
31,aa-lcr,aa-lcr/aa-lcr-86,aa-lcr/aa-lcr/aa-lcr-86,difficult,0.48101630065280454,0.5210163006528046,hard,0.79166675,0.22340425531914893,0.7287234042553191,0.15151515151515152,16,0.20833325,0.20833325,0.231990196751797,0.2980409913595031,0.12016768031720008,0.26729250219089107,74.0,27.0,50.0,False,True,False,False,False
32,aa-lcr,aa-lcr/aa-lcr-69,aa-lcr/aa-lcr/aa-lcr-69,unique_unpredictable,0.47142368348041586,0.5114236834804159,medium,0.3541666875,0.07446808510638298,1.0,0.7121212121212122,16,0.6458333125,0.6458333125,0.3626437250997387,-0.166190408673076,0.01878601282030026,0.5214522320035342,88.0,1.0,59.0,False,False,False,True,False
33,aa-lcr,aa-lcr/aa-lcr-25,aa-lcr/aa-lcr/aa-lcr-25,difficult,0.4706519987105094,0.5106519987105094,hard,0.875,0.5212765957446809,0.18085106382978725,0.16161616161616163,16,0.125,0.125,0.2319902416530704,-0.5707190934486482,0.19127265741140992,0.05647044836357995,46.0,78.0,60.0,False,True,False,False,False
34,aa-lcr,aa-lcr/aa-lcr-24,aa-lcr/aa-lcr/aa-lcr-24,difficult,0.4536085642025306,0.4936085642025306,hard,0.7291666875,0.0851063829787234,0.5691489361702128,0.6616161616161617,16,0.2708333125,0.2708333125,0.3578242859534408,-0.1232589265624219,0.04039958474145842,0.2297920694721053,87.0,41.0,65.0,False,True,False,False,False
35,aa-lcr,aa-lcr/aa-lcr-78,aa-lcr/aa-lcr/aa-lcr-78,difficult;frontier_with_variance,0.41185123543278535,0.4918512354327853,frontier,0.958333375,0.05319148936170213,0.5691489361702128,0.07575757575757576,16,0.041666625,0.041666625,0.1102395277213866,0.0243449037419232,0.0142441765936412,0.2297920694721053,90.0,42.0,68.0,False,True,True,False,False
36,aa-lcr,aa-lcr/aa-lcr-37,aa-lcr/aa-lcr/aa-lcr-37,unique_unpredictable,0.35986660268576726,0.39986660268576724,easy,0.18749993750000005,0.2127659574468085,0.851063829787234,0.1717171717171717,16,0.8125000625,0.8125000625,0.2347797634516944,0.3815891618527938,0.11493504512393546,0.3269838790389832,75.0,15.0,71.0,False,False,False,True,False
37,aa-lcr,aa-lcr/aa-lcr-26,aa-lcr/aa-lcr/aa-lcr-26,difficult;frontier_with_variance,0.2972336447956963,0.37723364479569627,frontier,0.9791666875,0.02127659574468085,0.14361702127659576,0.06060606060606061,16,0.0208333125,0.0208333125,0.0806870723588348,0.220550961257328,0.005659980022780319,0.053270637183100766,93.0,81.0,83.0,False,True,True,False,False
38,aa-lcr,aa-lcr/aa-lcr-10,aa-lcr/aa-lcr/aa-lcr-10,difficult,0.2545454545454545,0.2945454545454545,frontier,1.0,0.0,0.0,0.030303030303030304,16,0.0,0.0,0.0,,,,,,92.0,False,True,False,False,False
39,aa-lcr,aa-lcr/aa-lcr-22,aa-lcr/aa-lcr/aa-lcr-22,difficult,0.2545454545454545,0.2945454545454545,frontier,1.0,0.0,0.0,0.030303030303030304,16,0.0,0.0,0.0,,,,,,93.0,False,True,False,False,False
40,aa-lcr,aa-lcr/aa-lcr-30,aa-lcr/aa-lcr/aa-lcr-30,difficult,0.2545454545454545,0.2945454545454545,frontier,1.0,0.0,0.0,0.030303030303030304,16,0.0,0.0,0.0,,,,,,94.0,False,True,False,False,False
41,aa-lcr,aa-lcr/aa-lcr-60,aa-lcr/aa-lcr/aa-lcr-60,difficult,0.2545454545454545,0.2945454545454545,frontier,1.0,0.0,0.0,0.030303030303030304,16,0.0,0.0,0.0,,,,,,95.0,False,True,False,False,False
42,aa-lcr,aa-lcr/aa-lcr-72,aa-lcr/aa-lcr/aa-lcr-72,difficult,0.2545454545454545,0.2945454545454545,frontier,1.0,0.0,0.0,0.030303030303030304,16,0.0,0.0,0.0,,,,,,96.0,False,True,False,False,False
43,aider-polyglot,polyglot_java_transpose,aider-polyglot/polyglot_java_transpose,base_representative;high_composite,0.6872827950131976,0.7472827950131975,medium,0.41666662499999996,0.995475113122172,0.3574660633484163,0.9688888888888889,16,0.583333375,0.583333375,0.4639803710527357,0.7207996509697295,0.3982620818027795,0.04702364570408757,2.0,143.0,21.0,True,False,False,False,True
44,aider-polyglot,polyglot_python_food-chain,aider-polyglot/polyglot_python_food-chain,base_representative,0.6275433478742458,0.6875433478742459,medium,0.37499993750000005,1.0,0.22850678733031674,0.8444444444444444,16,0.6250000625,0.6250000625,0.4389855789677875,0.7589333397863389,0.39847719049304786,0.02866634426164083,1.0,172.0,59.0,True,False,False,False,False
45,aider-polyglot,polyglot_python_pov,aider-polyglot/polyglot_python_pov,unique_unpredictable;high_composite,0.76752770451546,0.8075277045154601,medium,0.47916662499999996,0.8597285067873304,0.8619909502262444,0.8755555555555555,16,0.520833375,0.520833375,0.4404661652253887,0.6045797487541144,0.3376981123263232,0.1817697593838129,32.0,32.0,2.0,False,False,False,True,True
46,aider-polyglot,polyglot_python_rest-api,aider-polyglot/polyglot_python_rest-api,high_composite,0.7862219027856334,0.7862219027856334,medium,0.5208333125,0.918552036199095,0.7420814479638009,0.9933333333333333,16,0.4791666875,0.4791666875,0.4854658496185286,0.6033083451361331,0.3646359210313523,0.13537244755991007,19.0,58.0,1.0,False,False,False,False,True
47,aider-polyglot,polyglot_go_bottle-song,aider-polyglot/polyglot_go_bottle-song,unique_unpredictable;high_composite,0.7222709276018099,0.7622709276018099,medium,0.4375,0.6923076923076923,0.8823529411764706,1.0,16,0.5625,0.5625,0.4960783708246107,0.5131282092335699,0.2869282024245304,0.19784224088097802,69.0,27.0,9.0,False,False,False,True,True
48,aider-polyglot,polyglot_python_wordy,aider-polyglot/polyglot_python_wordy,unique_unpredictable;high_composite,0.7027420866562971,0.7427420866562972,medium,0.6666666875,0.5927601809954751,0.8371040723981901,0.7955555555555556,16,0.3333333125,0.3333333125,0.4249183091424336,0.4891845013470405,0.25731215749444813,0.16375801455400263,91.0,37.0,16.0,False,False,False,True,True
49,aider-polyglot,polyglot_javascript_state-of-tic-tac-toe,aider-polyglot/polyglot_javascript_state-of-tic-tac-toe,high_composite,0.7406693009756787,0.7406693009756787,medium,0.4583333125,0.9411764705882353,0.6266968325791855,0.9333333333333333,16,0.5416666875,0.5416666875,0.4545296924508506,0.6306538417260477,0.3687474111508263,0.09779861570551784,14.0,84.0,3.0,False,False,False,False,True
50,aider-polyglot,polyglot_python_transpose,aider-polyglot/polyglot_python_transpose,high_composite,0.7389274184813348,0.7389274184813348,medium,0.4791666875,0.9909502262443439,0.49321266968325794,0.9933333333333333,16,0.5208333125,0.5208333125,0.4854658496185286,0.6551143447848327,0.3939620226644699,0.06738035291492783,3.0,113.0,4.0,False,False,False,False,True
51,aider-polyglot,polyglot_rust_accumulate,aider-polyglot/polyglot_rust_accumulate,high_composite,0.738683273543552,0.738683273543552,medium,0.5000000625000001,0.7828054298642534,0.7828054298642534,0.96,16,0.4999999375,0.4999999375,0.4564354874094296,0.5078014172773839,0.31717088716464814,0.14267843693295001,49.0,49.0,5.0,False,False,False,False,True
52,aider-polyglot,polyglot_python_dot-dsl,aider-polyglot/polyglot_python_dot-dsl,difficult;high_composite,0.6960456207343514,0.7360456207343514,hard,0.7083333125,0.5565610859728507,0.7873303167420814,0.8488888888888889,16,0.2916666875,0.2916666875,0.4389855908322502,0.455275409434262,0.2483997730338488,0.14278662540037035,99.0,48.0,20.0,False,True,False,False,True
53,aider-polyglot,polyglot_python_proverb,aider-polyglot/polyglot_python_proverb,high_composite,0.7344549448765083,0.7344549448765083,medium,0.6041666875,0.8506787330316742,0.5520361990950227,0.9844444444444445,16,0.3958333125,0.3958333125,0.4746160756557239,0.5051698842145185,0.3372052236817552,0.07677319575019403,34.0,100.0,6.0,False,False,False,False,True
