selection_rank,selection_stage,selection_reason,benchmark,task_id,task_column,candidate_reason,mix_selection_score,final_priority_score,difficulty_tier,difficulty_signal,representative_signal,unique_unpredictable_signal,discrimination_signal,observed_count,imputed_mean,observed_mean,observed_std,strength_correlation,useful_representativeness_score,task_unpredictability_score,representative_rank_within_benchmark,unique_rank_within_benchmark,composite_rank_within_benchmark,base_representative_task,difficult_task,frontier_task_with_signal,unique_unpredictable_task,high_composite_task
1,representative_base,base_representative;unique_unpredictable;high_composite,kumo,educationenv-t4-a6-v1-s0,kumo/educationenv-t4-a6-v1-s0,base_representative;unique_unpredictable;high_composite,0.7824606814072327,0.8824606814072327,easy,0.29166662499999996,0.9948717948717949,0.8538461538461538,0.9858490566037735,16,0.708333375,0.708333375,0.3886408072801406,0.7127242216515137,0.2857778348848276,0.10207367382193222,2.0,30.0,3.0,True,False,False,True,True
2,representative_base,base_representative;unique_unpredictable;high_composite,kumo,chemicalenv-t12-a16-v1-s0,kumo/chemicalenv-t12-a16-v1-s0,base_representative;unique_unpredictable;high_composite,0.7568925427022859,0.856892542702286,easy,0.22916668750000002,1.0,0.8153846153846154,0.9716981132075472,16,0.7708333125,0.7708333125,0.3673998788880649,0.8527219761301539,0.31793289184442314,0.05058250729966596,1.0,37.0,5.0,True,False,False,True,True
3,representative_base,base_representative;high_composite,gso,gso-pandas-dev--pandas-2421931,gso/gso-pandas-dev--pandas-2421931,base_representative;high_composite,0.7701388836805555,0.8301388836805554,medium,0.4583333125,1.0,0.6222222222222222,1.0,16,0.5416666875,0.5416666875,0.4545296924508506,0.6745437712259679,0.40584516537473486,0.156900114397573,1.0,35.0,2.0,True,False,False,False,True
4,representative_base,base_representative;high_composite,scicode,scicode-8,scicode/scicode-8,base_representative;high_composite,0.7686929171660959,0.8286929171660959,medium,0.4583333125,1.0,0.6164383561643836,1.0,16,0.5416666875,0.5416666875,0.4545296924508506,0.6048041589222178,0.33246670257133043,0.17726948369044437,1.0,29.0,1.0,True,False,False,False,True
5,representative_base,base_representative;high_composite,swesmith,oauthlib__oauthlib.1fd52536.combine_file__cqshl0vn,swesmith/oauthlib__oauthlib.1fd52536.combine_file__cqshl0vn,base_representative;high_composite,0.7670094936708861,0.827009493670886,medium,0.625,1.0,0.4430379746835443,1.0,16,0.375,0.375,0.4841229182759271,0.5150624494495685,0.3677382009275026,0.1114767768902104,1.0,45.0,1.0,True,False,False,False,True
6,representative_base,base_representative;high_composite,spider2,f1002,spider2/f1002,base_representative;high_composite,0.7639757100694444,0.8239757100694445,medium,0.5625000625000001,0.9722222222222222,0.5416666666666666,0.984375,16,0.4374999375,0.4374999375,0.4521361480286481,0.532230809779004,0.3559195009650183,0.17439848533194902,2.0,17.0,2.0,True,False,False,False,True
7,representative_base,base_representative;high_composite,featurebench-modal,pandas-dev__pandas.82fa2715.test_concat.ebe5de39.lv1,featurebench-modal/pandas-dev__pandas.82fa2715.test_concat.ebe5de39.lv1,base_representative;high_composite,0.7621604244520963,0.8221604244520964,medium,0.5833333125,0.9935897435897436,0.4807692307692308,0.9891891891891892,16,0.4166666875,0.4166666875,0.4487637610084674,0.563639263759979,0.38326277439897827,0.10455885845704738,2.0,82.0,9.0,True,False,False,False,True
8,representative_base,base_representative;high_composite,algotune,algotune-count-riemann-zeta-zeros,algotune/algotune-count-riemann-zeta-zeros,base_representative;high_composite,0.7587856775793651,0.8187856775793652,medium,0.57482525,1.0,0.4603174603174603,1.0,16,0.42517475,0.42517475,0.4286485660129256,0.6056759003761705,0.31421491055281026,0.1676765780937992,1.0,69.0,4.0,True,False,False,False,True
9,representative_base,base_representative;high_composite,replicationbench,disk_ridges__ridge_slope,replicationbench/disk_ridges__ridge_slope,base_representative;high_composite,0.7560970672468355,0.8160970672468355,medium,0.66666675,1.0,0.4177215189873418,0.9,16,0.33333325,0.33333325,0.4082482904638885,0.5139871893340996,0.36324576543458237,0.09504593799553951,1.0,47.0,3.0,True,False,False,False,True
10,representative_base,base_representative;high_composite,featurebench-modal,mwaskom__seaborn.7001ebe7.test_bar.123ed709.lv1,featurebench-modal/mwaskom__seaborn.7001ebe7.test_bar.123ed709.lv1,base_representative;high_composite,0.7487599670932952,0.8087599670932952,medium,0.6041666875,1.0,0.40384615384615385,0.9783783783783784,16,0.3958333125,0.3958333125,0.4443902062174242,0.6449925195281485,0.3907278002599957,0.09210581524258876,1.0,94.0,13.0,True,False,False,False,True
11,representative_base,base_representative;high_composite,algotune,algotune-matrix-completion,algotune/algotune-matrix-completion,base_representative;high_composite,0.7467303814709595,0.8067303814709594,medium,0.6485376875,0.9920634920634921,0.36507936507936506,0.974025974025974,16,0.3514623125,0.3514623125,0.354769842577501,0.6244991382570916,0.28610010697592064,0.12830457536189144,2.0,81.0,6.0,True,False,False,False,True
12,representative_base,base_representative;high_composite,labbench,figqa-0003,labbench/figqa-0003,base_representative;high_composite,0.7440242471178103,0.8040242471178103,medium,0.625,0.9942196531791907,0.36416184971098264,0.9917127071823204,16,0.375,0.375,0.4841229182759271,0.4021495465492815,0.4032284725429074,0.09641600524396055,2.0,111.0,2.0,True,False,False,False,True
13,representative_base,base_representative;high_composite,pixiu,pixiu-mlesg-mlesg10,pixiu/pixiu-mlesg-mlesg10,base_representative;high_composite,0.7414870689655171,0.8014870689655171,medium,0.4375,1.0,0.5517241379310345,0.9612068965517241,16,0.5625,0.5625,0.4960783708246107,0.6859279123941754,0.37095327987874105,0.14851485185479352,1.0,40.0,2.0,True,False,False,False,True
14,representative_base,base_representative;high_composite,swe-lancer,50287-manager-0,swe-lancer/50287-manager-0,base_representative;high_composite,0.7409574624335107,0.8009574624335107,medium,0.5000000625000001,0.9893617021276596,0.4787234042553192,1.0,16,0.4999999375,0.4999999375,0.4564354874094297,0.6985476972919604,0.3468295716878384,0.19186241711774688,2.0,50.0,5.0,True,False,False,False,True
15,representative_base,base_representative;high_composite,seal0,39,seal0/39,base_representative;high_composite,0.7321153494399004,0.7921153494399005,medium,0.45833337500000004,1.0,0.5052631578947369,0.9414414414414415,16,0.541666625,0.541666625,0.4389856086289838,0.5334892108777272,0.36301403719250114,0.19869935404758965,1.0,48.0,2.0,True,False,False,False,True
16,representative_base,base_representative;high_composite,seal0,0,seal0/0,base_representative;high_composite,0.7221766780538763,0.7821766780538764,medium,0.6458333125,0.9894736842105263,0.26842105263157895,0.9819819819819819,16,0.3541666875,0.3541666875,0.4635124194893162,0.4326480610857831,0.33507921985190614,0.15090185319450944,2.0,70.0,4.0,True,False,False,False,True
17,representative_base,base_representative;high_composite,scicode,scicode-16,scicode/scicode-16,base_representative;high_composite,0.7190011519691781,0.7790011519691782,medium,0.39583337500000004,0.9863013698630136,0.5068493150684932,0.9875,16,0.604166625,0.604166625,0.4077163812866541,0.5780293530298933,0.3256783453438323,0.1256605712865675,2.0,37.0,3.0,True,False,False,False,True
18,representative_base,base_representative;high_composite,qcircuitbench,bernstein_vazirani-n8,qcircuitbench/bernstein_vazirani-n8,base_representative;high_composite,0.707291671875,0.767291671875,medium,0.4291666875,1.0,0.4,1.0,16,0.5708333125,0.5708333125,0.4605062252640726,0.6836089267917329,0.331009558693052,0.14781198145736985,1.0,16.0,2.0,True,False,False,False,True
19,representative_base,base_representative;high_composite,spreadsheetbench,438-18,spreadsheetbench/438-18,base_representative;high_composite,0.7056343485331633,0.7656343485331634,medium,0.3333333125,1.0,0.5102040816326531,0.965,16,0.6666666875,0.6666666875,0.4564354645876455,0.7630309240220868,0.3718377015395172,0.07495393030255137,1.0,97.0,1.0,True,False,False,False,True
20,representative_base,base_representative;high_composite,arc-agi-2,3e6067c3_0,arc-agi-2/3e6067c3_0,base_representative;high_composite,0.7040306965460525,0.7640306965460526,medium,0.5833333125,0.9894736842105263,0.3105263157894737,0.895,16,0.4166666875,0.4166666875,0.4487637610084674,0.6094883835297569,0.40096079186064143,0.03060175176069646,2.0,66.0,11.0,True,False,False,False,True
21,representative_base,base_representative;high_composite,strongreject,strongreject_non-violent_crimes_0025_pap_logical_appeal,strongreject/strongreject_non-violent_crimes_0025_pap_logical_appeal,base_representative;high_composite,0.7021249843749999,0.762124984375,medium,0.31249993749999994,1.0,0.5,0.9933333333333333,16,0.6875000625000001,0.6875000625000001,0.419262692985178,-0.3822039288556166,0.270742907604751,0.15791210754854157,1.0,35.0,6.0,True,False,False,False,True
22,representative_base,base_representative;high_composite,replicationbench,astm3__photometry_classification_accuracy_with_clip,replicationbench/astm3__photometry_classification_accuracy_with_clip,base_representative;high_composite,0.6999472521756329,0.759947252175633,medium,0.5833333125,0.9873417721518988,0.23417721518987342,1.0,16,0.4166666875,0.4166666875,0.4787135647580292,0.5473977286098375,0.36237998641211894,0.04653731324124155,2.0,62.0,9.0,True,False,False,False,True
23,representative_base,base_representative;high_composite,arc-agi-2,8f215267_0,arc-agi-2/8f215267_0,base_representative;high_composite,0.6958136069078947,0.7558136069078947,medium,0.520833375,1.0,0.26842105263157895,0.99,16,0.479166625,0.479166625,0.4709439527133079,0.6362134495435204,0.41004284174864314,0.027583090914087394,1.0,70.0,14.0,True,False,False,False,True
24,representative_base,base_representative;high_composite,crustbench,crustbench-approxidate,crustbench/crustbench-approxidate,base_representative;high_composite,0.6933958333333334,0.7533958333333335,medium,0.3125,0.9895833333333334,0.5416666666666666,0.89,16,0.6875,0.6875,0.399109286063667,0.7556226483156573,0.3386174351478853,0.0662069954023159,2.0,45.0,6.0,True,False,False,False,True
25,representative_base,base_representative;high_composite,compilebench,coreutils-old-version,compilebench/coreutils-old-version,base_representative;high_composite,0.6906250052083334,0.7506250052083334,easy,0.22916668750000002,1.0,0.5333333333333333,1.0,16,0.7708333125,0.7708333125,0.4034357878223495,0.7629587908947488,0.3603178134285884,0.05328141601997238,1.0,8.0,1.0,True,False,False,False,True
26,representative_base,base_representative;high_composite,codepde,codepde-darcy,codepde/codepde-darcy,base_representative;high_composite,0.68875,0.74875,medium,0.5,1.0,0.375,0.8,16,0.5,0.5,0.3726780707856313,0.3205657239900255,0.26841675276137633,0.4246444583267913,1.0,4.0,1.0,True,False,False,False,True
27,representative_base,base_representative;high_composite,gaia,dc22a632-937f-4e6a-b72f-ba0ff3f5ff97,gaia/dc22a632-937f-4e6a-b72f-ba0ff3f5ff97,base_representative;high_composite,0.6883616664827013,0.7483616664827013,medium,0.43749993750000005,0.9936305732484076,0.3503184713375796,0.9575757575757575,16,0.5625000625,0.5625000625,0.4521361480286481,0.6617020760597694,0.4029111869331947,0.10111123385150345,2.0,103.0,8.0,True,False,False,False,True
28,representative_base,base_representative;high_composite,gpqa-diamond,24,gpqa-diamond/24,base_representative;high_composite,0.6880378473495312,0.7480378473495313,medium,0.33333337500000004,1.0,0.430939226519337,0.9797979797979798,16,0.666666625,0.666666625,0.4409585833411505,0.7219856725970337,0.3824390918207935,0.06799301481364939,1.0,104.0,26.0,True,False,False,False,True
29,representative_base,base_representative;high_composite,aider-polyglot,polyglot_java_transpose,aider-polyglot/polyglot_java_transpose,base_representative;high_composite,0.6872827950131976,0.7472827950131975,medium,0.41666662499999996,0.995475113122172,0.3574660633484163,0.9688888888888889,16,0.583333375,0.583333375,0.4639803710527357,0.7207996509697295,0.3982620818027795,0.04702364570408757,2.0,143.0,21.0,True,False,False,False,True
30,representative_base,base_representative;high_composite,reasoning-gym,reasoning-gym-graphs-shortest-path-hard0292e21f-seed45-1,reasoning-gym/reasoning-gym-graphs-shortest-path-hard0292e21f-seed45-1,base_representative;high_composite,0.6842031145833334,0.7442031145833334,easy,0.29166662499999996,0.9980952380952381,0.47333333333333333,0.9574652777777778,16,0.708333375,0.708333375,0.4228704777733182,0.53536037035578,0.34981153222765077,0.05876201116780899,2.0,278.0,57.0,True,False,False,False,True
31,representative_base,base_representative;high_composite,skillsbench,threejs-to-obj,skillsbench/threejs-to-obj,base_representative;high_composite,0.6791244854970397,0.7391244854970398,medium,0.3958333125,0.9852941176470589,0.35294117647058826,0.9805194805194806,16,0.6041666875,0.6041666875,0.4443902062174242,0.7048484798291642,0.35435177269491447,0.1469347328748103,2.0,45.0,7.0,True,False,False,False,True
32,representative_base,base_representative;high_composite,labbench,figqa-0128,labbench/figqa-0128,base_representative;high_composite,0.6766832066553827,0.7366832066553828,medium,0.625,1.0,0.08670520231213873,0.9917127071823204,16,0.375,0.375,0.4841229182759271,0.3558519493386272,0.4105348123140708,0.029568747864497036,1.0,159.0,12.0,True,False,False,False,True
33,representative_base,base_representative;high_composite,swesmith,oauthlib__oauthlib.1fd52536.combine_file__cw8yqgmm,swesmith/oauthlib__oauthlib.1fd52536.combine_file__cw8yqgmm,base_representative;high_composite,0.6765516016533195,0.7365516016533196,medium,0.375,0.9873417721518988,0.37341772151898733,0.9591836734693877,16,0.625,0.625,0.4545296867214781,0.728814857769753,0.3428675002442357,0.101103156761015,2.0,50.0,15.0,True,False,False,False,True
34,representative_base,base_representative;high_composite,hle,hle/hle__6701a951f96e98d9d4df3e02,hle/hle/hle__6701a951f96e98d9d4df3e02,base_representative;high_composite,0.6738181676610288,0.7338181676610287,medium,0.520833375,0.9948717948717949,0.19487179487179487,0.9779116465863453,16,0.4791666249999999,0.4791666249999999,0.4709439527133078,0.6089743111957335,0.4078129165032347,0.0477876512427341,2.0,158.0,17.0,True,False,False,False,True
35,representative_base,base_representative;high_composite,crustbench,crustbench-inversion-list,crustbench/crustbench-inversion-list,base_representative;high_composite,0.6693020781250001,0.7293020781250001,easy,0.2708333125,1.0,0.484375,0.87,16,0.7291666875,0.7291666875,0.3947353334919042,0.854460171374364,0.34136489430339023,0.05585997457894287,1.0,50.0,7.0,True,False,False,False,True
36,representative_base,base_representative;high_composite,hle,hle/hle__671f1f4ae38f776acdad8a77,hle/hle/hle__671f1f4ae38f776acdad8a77,base_representative;high_composite,0.6681031819586036,0.7281031819586037,medium,0.5,1.0,0.18205128205128204,0.9839357429718876,16,0.5,0.5,0.4714045355224375,0.6624169409969701,0.40947973147548544,0.0361254171450327,1.0,161.0,21.0,True,False,False,False,True
37,representative_base,base_representative;high_composite,aa-lcr,aa-lcr/aa-lcr-29,aa-lcr/aa-lcr/aa-lcr-29,base_representative;high_composite,0.6666606117625725,0.7266606117625725,medium,0.35416662499999996,1.0,0.3670212765957447,0.9090909090909091,16,0.645833375,0.645833375,0.4161455261784744,0.7058481211813432,0.3335552222261636,0.14688539949987722,1.0,60.0,9.0,True,False,False,False,True
38,representative_base,base_representative;high_composite,bixbench,bix-35-q4,bixbench/bix-35-q4,base_representative;high_composite,0.6627051334134615,0.7227051334134615,medium,0.4166666875,0.9743589743589743,0.28205128205128205,0.98,16,0.5833333125,0.5833333125,0.4487637610084674,0.6489728595162516,0.36301682627809206,0.16588942312690758,2.0,29.0,1.0,True,False,False,False,True
39,representative_base,base_representative;high_composite,reasoning-gym,reasoning-gym-algorithmic-jugs-hard0292e21f-seed45-1,reasoning-gym/reasoning-gym-algorithmic-jugs-hard0292e21f-seed45-1,base_representative;high_composite,0.6623734962797618,0.7223734962797619,easy,0.24999993749999994,1.0,0.46095238095238095,0.8975694444444444,16,0.7500000625000001,0.7500000625000001,0.3818812942743904,0.6314926217962263,0.35031436834743485,0.05654353463409134,1.0,284.0,67.0,True,False,False,False,True
40,representative_base,base_representative;high_composite,aime,aime_81,aime/aime_81,base_representative;high_composite,0.6588112588848039,0.7188112588848039,medium,0.31249993749999994,1.0,0.3627450980392157,0.9333333333333333,16,0.6875000625000001,0.6875000625000001,0.381312623499811,0.5198262845498096,0.29431918215770136,0.06474054361276671,1.0,33.0,7.0,True,False,False,False,True
41,representative_base,base_representative;high_composite,spider2,quickbooks002,spider2/quickbooks002,base_representative;high_composite,0.657855907986111,0.7178559079861111,medium,0.3541666875,1.0,0.3194444444444444,0.9296875,16,0.6458333125,0.6458333125,0.4325112705259423,0.7658031504669961,0.3802802992048898,0.11242911209733342,1.0,25.0,7.0,True,False,False,False,True
42,representative_base,base_representative;high_composite,mmau,760e99b1-09aa-479b-b90d-c3c581076e0d,mmau/760e99b1-09aa-479b-b90d-c3c581076e0d,base_representative;high_composite,0.6562193171359889,0.716219317135989,easy,0.2708333125,1.0,0.45604395604395603,0.83,16,0.7291666875,0.7291666875,0.3947353334919042,0.8499996487607757,0.2547886505895937,0.10031546936673263,1.0,51.0,1.0,True,False,False,False,True
