task_column,benchmark,task_id,observed_count,missing_count,missing_fraction,observed_mean,observed_std,observed_min,observed_max,imputed_mean,imputed_normalized_mean,imputed_normalized_std,strength_correlation,difficulty_tier,negative_count,gt_one_count,is_bounded_score_task,is_reliable_observed_task,is_discriminative_task,is_mix_candidate_pool
algotune/algotune-odr,algotune,algotune-odr,16,0,0.0,0.00214125,0.0023039506695022,0.0,0.006503,0.00214125,0.00214125,0.0023039506695022,0.5413558068094182,frontier,0,0,True,True,False,True
reasoning-gym/reasoning-gym-code-codeio-easy00cea0a5-seed45-0,reasoning-gym,reasoning-gym-code-codeio-easy00cea0a5-seed45-0,16,0,0.0,0.0085416875,0.0023478399572466,0.003333,0.01,0.0085416875,0.0085416875,0.0023478399572466,0.5116515349477009,frontier,0,0,True,True,False,True
algotune/algotune-sha256-hashing,algotune,algotune-sha256-hashing,16,0,0.0,0.000674125,0.0004178127384068,0.0,0.001795,0.000674125,0.000674125,0.0004178127384068,0.4915703775887584,frontier,0,0,True,True,False,True
algotune/algotune-lp-centering,algotune,algotune-lp-centering,16,0,0.0,0.0375281875,0.054949790289885,0.0,0.176228,0.0375281875,0.0375281875,0.054949790289885,0.4393550179128361,frontier,0,0,True,True,True,True
algotune/algotune-rbf-interpolation,algotune,algotune-rbf-interpolation,16,0,0.0,0.0189398125,0.0301303703537202,0.0,0.097096,0.0189398125,0.0189398125,0.0301303703537202,0.4234800272084785,frontier,0,0,True,True,True,True
gaia2/gaia2-cli/0972_dhhwqrrwlcuk0qefe3m3dpusvcj5cuxo,gaia2,gaia2-cli/0972_dhhwqrrwlcuk0qefe3m3dpusvcj5cuxo,16,0,0.0,0.047619,0.058321126030796,0.0,0.142857,0.047619,0.047619,0.058321126030796,0.4123449625625311,frontier,0,0,True,True,True,True
scicode/scicode-22,scicode,scicode-22,16,0,0.0,0.041666625,0.0666087045483499,0.0,0.222222,0.041666625,0.041666625,0.0666087045483499,0.3863038834872496,frontier,0,0,True,True,True,True
scicode/scicode-73,scicode,scicode-73,16,0,0.0,0.0208333125,0.0392154106597756,0.0,0.148148,0.0208333125,0.0208333125,0.0392154106597756,0.3481262155615782,frontier,0,0,True,True,True,True
arc-agi-2/195c6913_0,arc-agi-2,195c6913_0,16,0,0.0,0.041666625,0.1102395277213866,0.0,0.333333,0.041666625,0.041666625,0.1102395277213866,0.340729690621104,frontier,0,0,True,True,True,True
featurebench-modal/scikit-learn__scikit-learn.5741bac9.test_arff_parser.ecde431a.lv1,featurebench-modal,scikit-learn__scikit-learn.5741bac9.test_arff_parser.ecde431a.lv1,16,0,0.0,0.041666625,0.1102395277213866,0.0,0.333333,0.041666625,0.041666625,0.1102395277213866,0.340729690621104,frontier,0,0,True,True,True,True
hle/hle/hle__676f30b2c0f9a20a47cd3211,hle,hle/hle__676f30b2c0f9a20a47cd3211,16,0,0.0,0.041666625,0.1102395277213866,0.0,0.333333,0.041666625,0.041666625,0.1102395277213866,0.340729690621104,frontier,0,0,True,True,True,True
labbench/figqa-0124,labbench,figqa-0124,16,0,0.0,0.041666625,0.1102395277213866,0.0,0.333333,0.041666625,0.041666625,0.1102395277213866,0.340729690621104,frontier,0,0,True,True,True,True
replicationbench/chandra_representation__2dae_embedding,replicationbench,chandra_representation__2dae_embedding,16,0,0.0,0.041666625,0.1102395277213866,0.0,0.333333,0.041666625,0.041666625,0.1102395277213866,0.340729690621104,frontier,0,0,True,True,True,True
swe-lancer/26167-manager-0,swe-lancer,26167-manager-0,16,0,0.0,0.041666625,0.1102395277213866,0.0,0.333333,0.041666625,0.041666625,0.1102395277213866,0.340729690621104,frontier,0,0,True,True,True,True
