benchmark,model,harbor_agent,delta_terminus2,delta_agent,agent_lift
hle,gpt-5.4,codex,-0.158919,0.15701099999999996,0.31592999999999993
sldbench,claude-haiku-4-5-20251001,claude-code,-0.14809197500000004,0.06267926874999996,0.21077124375
gso,gpt-5.4,codex,-0.14703299999999997,0.05884900000000004,0.205882
simpleqa,gpt-5.4,codex,0.421333,0.6179999999999999,0.19666699999999987
hle,gpt-5-mini,codex,-0.06320899999999999,0.09475700000000001,0.157966
algotune,gemini-3.1-pro-preview,gemini-cli,-0.18929155979554063,-0.09344955979554065,0.09584199999999998
algotune,gpt-5.4,codex,-0.15632311987235215,-0.07035811987235213,0.08596500000000001
hle,claude-opus-4-6,claude-code,0.152704,0.199558,0.04685400000000001
simpleqa,gemini-3.1-pro-preview,gemini-cli,0.20199999999999996,0.21199999999999997,0.010000000000000009
hle,gemini-3.1-pro-preview,gemini-cli,0.06839800000000001,0.07643000000000005,0.008032000000000039
simpleqa,claude-sonnet-4-6,claude-code,0.485667,0.48233299999999996,-0.003334000000000059
algotune,claude-opus-4-6,claude-code,0.0714438930204454,0.050685893020445405,-0.020758
simpleqa,claude-opus-4-6,claude-code,0.423667,0.383667,-0.040000000000000036
sldbench,gemini-3-flash-preview,gemini-cli,0.6435165414499999,0.60132654145,-0.04218999999999995
