benchmark,model,agent,score,issues
algotune,gpt-5-nano,terminus-2,0.0,exact_zero
algotune,gemini-3-flash-preview,gemini-cli,0.0,exact_zero
arc-agi-2,gpt-5-nano,terminus-2,0.0,exact_zero
arc-agi-2,gpt-5-nano,codex,0.0,exact_zero
codepde,gpt-5-nano,codex,0.0,exact_zero
financeagent_terminal,gpt-5-nano,terminus-2,0.0,exact_zero
gaia2,gpt-5-mini,terminus-2,0.0,exact_zero
gaia2,gpt-5-nano,terminus-2,0.0,exact_zero
gso,gpt-5-nano,terminus-2,0.0,exact_zero
mlgym,gpt-5.4,terminus-2,677.363639,above_1|extreme_magnitude
mlgym,gpt-5.4,codex,3440.222883,above_1|extreme_magnitude
mlgym,gpt-5-mini,terminus-2,-818.516838,negative|extreme_magnitude
mlgym,gpt-5-mini,codex,249.301025,above_1|extreme_magnitude
mlgym,gpt-5-nano,terminus-2,-925.887855,negative|extreme_magnitude
mlgym,gpt-5-nano,codex,-3682.384547,negative|extreme_magnitude
mlgym,claude-haiku-4-5-20251001,terminus-2,621.695678,above_1|extreme_magnitude
mlgym,claude-haiku-4-5-20251001,claude-code,-2124453963418.824,negative|extreme_magnitude
mlgym,claude-sonnet-4-6,terminus-2,-1431.849223,negative|extreme_magnitude
mlgym,claude-sonnet-4-6,claude-code,-2226.709012,negative|extreme_magnitude
mlgym,claude-opus-4-6,terminus-2,914.826206,above_1|extreme_magnitude
mlgym,claude-opus-4-6,claude-code,-1346.18011,negative|extreme_magnitude
mlgym,gemini-3.1-pro-preview,terminus-2,787.016875,above_1|extreme_magnitude
mlgym,gemini-3.1-pro-preview,gemini-cli,876.994491,above_1|extreme_magnitude
mlgym,gemini-3-flash-preview,terminus-2,890.881627,above_1|extreme_magnitude
mlgym,gemini-3-flash-preview,gemini-cli,1154.90155,above_1|extreme_magnitude
mmmlu,claude-haiku-4-5-20251001,terminus-2,0.0,exact_zero
mmmlu,claude-sonnet-4-6,terminus-2,0.0,exact_zero
mmmlu,claude-opus-4-6,terminus-2,0.0,exact_zero
qcircuitbench,gpt-5-nano,codex,0.0,exact_zero
research-code-bench,gpt-5-mini,terminus-2,0.0,exact_zero
research-code-bench,gemini-3.1-pro-preview,terminus-2,0.0,exact_zero
