matrix_column,stem,benchmark_name,model,agent,score_harbor,score_doc,delta,doc_model_matched,doc_agent_matched,doc_metric_used,primary_metric_json,doc_slice_date,doc_source_url,match_status,alignment_status,alignment_transform,include_in_comparison,alignment_evidence_level,alignment_notes
aa-lcr,aa_lcr,,gpt-5.4,terminus-2,0.525253,,,,,,,,,skipped_no_alignment,,,False,,
aa-lcr,aa_lcr,,gpt-5.4,codex,0.750842,,,,,,,,,skipped_no_alignment,,,False,,
aa-lcr,aa_lcr,,gpt-5-mini,terminus-2,0.319865,,,,,,,,,skipped_no_alignment,,,False,,
aa-lcr,aa_lcr,,gpt-5-mini,codex,0.744108,,,,,,,,,skipped_no_alignment,,,False,,
aa-lcr,aa_lcr,,gpt-5-nano,terminus-2,0.131313,,,,,,,,,skipped_no_alignment,,,False,,
aa-lcr,aa_lcr,,gpt-5-nano,codex,0.360269,,,,,,,,,skipped_no_alignment,,,False,,
aa-lcr,aa_lcr,,claude-haiku-4-5-20251001,terminus-2,0.606061,,,,,,,,,skipped_no_alignment,,,False,,
aa-lcr,aa_lcr,,claude-haiku-4-5-20251001,claude-code,0.545455,,,,,,,,,skipped_no_alignment,,,False,,
aa-lcr,aa_lcr,,claude-sonnet-4-6,terminus-2,0.6633,,,,,,,,,skipped_no_alignment,,,False,,
aa-lcr,aa_lcr,,claude-sonnet-4-6,claude-code,0.740741,,,,,,,,,skipped_no_alignment,,,False,,
aa-lcr,aa_lcr,,claude-opus-4-6,terminus-2,0.616162,,,,,,,,,skipped_no_alignment,,,False,,
aa-lcr,aa_lcr,,claude-opus-4-6,claude-code,0.747475,,,,,,,,,skipped_no_alignment,,,False,,
aa-lcr,aa_lcr,,gemini-3.1-pro-preview,terminus-2,0.744108,,,,,,,,,skipped_no_alignment,,,False,,
aa-lcr,aa_lcr,,gemini-3.1-pro-preview,gemini-cli,0.659933,,,,,,,,,skipped_no_alignment,,,False,,
aa-lcr,aa_lcr,,gemini-3-flash-preview,terminus-2,0.643098,,,,,,,,,skipped_no_alignment,,,False,,
aa-lcr,aa_lcr,,gemini-3-flash-preview,gemini-cli,0.649832,,,,,,,,,skipped_no_alignment,,,False,,
aider-polyglot,aider_polyglot,Aider Polyglot,gpt-5.4,terminus-2,0.543704,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match,direct,identity,True,metric_name_match,Same pass-rate direction and 0-1 scale.
aider-polyglot,aider_polyglot,Aider Polyglot,gpt-5.4,codex,0.785185,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match,direct,identity,True,metric_name_match,Same pass-rate direction and 0-1 scale.
aider-polyglot,aider_polyglot,Aider Polyglot,gpt-5-mini,terminus-2,0.367407,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match,direct,identity,True,metric_name_match,Same pass-rate direction and 0-1 scale.
aider-polyglot,aider_polyglot,Aider Polyglot,gpt-5-mini,codex,0.539259,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match,direct,identity,True,metric_name_match,Same pass-rate direction and 0-1 scale.
aider-polyglot,aider_polyglot,Aider Polyglot,gpt-5-nano,terminus-2,0.140741,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match,direct,identity,True,metric_name_match,Same pass-rate direction and 0-1 scale.
aider-polyglot,aider_polyglot,Aider Polyglot,gpt-5-nano,codex,0.096296,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match,direct,identity,True,metric_name_match,Same pass-rate direction and 0-1 scale.
aider-polyglot,aider_polyglot,Aider Polyglot,claude-haiku-4-5-20251001,terminus-2,0.303704,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match,direct,identity,True,metric_name_match,Same pass-rate direction and 0-1 scale.
aider-polyglot,aider_polyglot,Aider Polyglot,claude-haiku-4-5-20251001,claude-code,0.291852,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match,direct,identity,True,metric_name_match,Same pass-rate direction and 0-1 scale.
aider-polyglot,aider_polyglot,Aider Polyglot,claude-sonnet-4-6,terminus-2,0.571852,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match,direct,identity,True,metric_name_match,Same pass-rate direction and 0-1 scale.
aider-polyglot,aider_polyglot,Aider Polyglot,claude-sonnet-4-6,claude-code,0.56,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match,direct,identity,True,metric_name_match,Same pass-rate direction and 0-1 scale.
aider-polyglot,aider_polyglot,Aider Polyglot,claude-opus-4-6,terminus-2,0.718519,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match,direct,identity,True,metric_name_match,Same pass-rate direction and 0-1 scale.
aider-polyglot,aider_polyglot,Aider Polyglot,claude-opus-4-6,claude-code,0.685926,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match,direct,identity,True,metric_name_match,Same pass-rate direction and 0-1 scale.
aider-polyglot,aider_polyglot,Aider Polyglot,gemini-3.1-pro-preview,terminus-2,0.788148,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match,direct,identity,True,metric_name_match,Same pass-rate direction and 0-1 scale.
aider-polyglot,aider_polyglot,Aider Polyglot,gemini-3.1-pro-preview,gemini-cli,0.884444,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match,direct,identity,True,metric_name_match,Same pass-rate direction and 0-1 scale.
aider-polyglot,aider_polyglot,Aider Polyglot,gemini-3-flash-preview,terminus-2,0.666667,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match,direct,identity,True,metric_name_match,Same pass-rate direction and 0-1 scale.
aider-polyglot,aider_polyglot,Aider Polyglot,gemini-3-flash-preview,gemini-cli,0.712593,,,,,,pass rate,2025-11-20,https://aider.chat/docs/leaderboards/,no_model_match,direct,identity,True,metric_name_match,Same pass-rate direction and 0-1 scale.
aime,aime,AIME,gpt-5.4,terminus-2,0.711111,,,,,,accuracy,2026-04,https://www.vals.ai/benchmarks/aime,no_model_match,direct,identity,True,metric_name_match,"Use the 60-question AIME 2024 + 2025 pass@1 metric, not per-year splits."
aime,aime,AIME,gpt-5.4,codex,0.988889,,,,,,accuracy,2026-04,https://www.vals.ai/benchmarks/aime,no_model_match,direct,identity,True,metric_name_match,"Use the 60-question AIME 2024 + 2025 pass@1 metric, not per-year splits."
aime,aime,AIME,gpt-5-mini,terminus-2,0.888889,,,,,,accuracy,2026-04,https://www.vals.ai/benchmarks/aime,no_model_match,direct,identity,True,metric_name_match,"Use the 60-question AIME 2024 + 2025 pass@1 metric, not per-year splits."
aime,aime,AIME,gpt-5-mini,codex,0.966667,,,,,,accuracy,2026-04,https://www.vals.ai/benchmarks/aime,no_model_match,direct,identity,True,metric_name_match,"Use the 60-question AIME 2024 + 2025 pass@1 metric, not per-year splits."
aime,aime,AIME,gpt-5-nano,terminus-2,0.755556,,,,,,accuracy,2026-04,https://www.vals.ai/benchmarks/aime,no_model_match,direct,identity,True,metric_name_match,"Use the 60-question AIME 2024 + 2025 pass@1 metric, not per-year splits."
aime,aime,AIME,gpt-5-nano,codex,0.738889,,,,,,accuracy,2026-04,https://www.vals.ai/benchmarks/aime,no_model_match,direct,identity,True,metric_name_match,"Use the 60-question AIME 2024 + 2025 pass@1 metric, not per-year splits."
aime,aime,AIME,claude-haiku-4-5-20251001,terminus-2,0.622222,,,,,,accuracy,2026-04,https://www.vals.ai/benchmarks/aime,no_model_match,direct,identity,True,metric_name_match,"Use the 60-question AIME 2024 + 2025 pass@1 metric, not per-year splits."
aime,aime,AIME,claude-haiku-4-5-20251001,claude-code,0.861111,,,,,,accuracy,2026-04,https://www.vals.ai/benchmarks/aime,no_model_match,direct,identity,True,metric_name_match,"Use the 60-question AIME 2024 + 2025 pass@1 metric, not per-year splits."
aime,aime,AIME,claude-sonnet-4-6,terminus-2,0.977778,,,,,,accuracy,2026-04,https://www.vals.ai/benchmarks/aime,no_model_match,direct,identity,True,metric_name_match,"Use the 60-question AIME 2024 + 2025 pass@1 metric, not per-year splits."
aime,aime,AIME,claude-sonnet-4-6,claude-code,0.966667,,,,,,accuracy,2026-04,https://www.vals.ai/benchmarks/aime,no_model_match,direct,identity,True,metric_name_match,"Use the 60-question AIME 2024 + 2025 pass@1 metric, not per-year splits."
aime,aime,AIME,claude-opus-4-6,terminus-2,0.988889,,,,,,accuracy,2026-04,https://www.vals.ai/benchmarks/aime,no_model_match,direct,identity,True,metric_name_match,"Use the 60-question AIME 2024 + 2025 pass@1 metric, not per-year splits."
aime,aime,AIME,claude-opus-4-6,claude-code,0.994444,,,,,,accuracy,2026-04,https://www.vals.ai/benchmarks/aime,no_model_match,direct,identity,True,metric_name_match,"Use the 60-question AIME 2024 + 2025 pass@1 metric, not per-year splits."
aime,aime,AIME,gemini-3.1-pro-preview,terminus-2,0.988889,,,,,,accuracy,2026-04,https://www.vals.ai/benchmarks/aime,no_model_match,direct,identity,True,metric_name_match,"Use the 60-question AIME 2024 + 2025 pass@1 metric, not per-year splits."
aime,aime,AIME,gemini-3.1-pro-preview,gemini-cli,0.994444,,,,,,accuracy,2026-04,https://www.vals.ai/benchmarks/aime,no_model_match,direct,identity,True,metric_name_match,"Use the 60-question AIME 2024 + 2025 pass@1 metric, not per-year splits."
aime,aime,AIME,gemini-3-flash-preview,terminus-2,0.888889,,,,,,accuracy,2026-04,https://www.vals.ai/benchmarks/aime,no_model_match,direct,identity,True,metric_name_match,"Use the 60-question AIME 2024 + 2025 pass@1 metric, not per-year splits."
aime,aime,AIME,gemini-3-flash-preview,gemini-cli,0.811111,,,,,,accuracy,2026-04,https://www.vals.ai/benchmarks/aime,no_model_match,direct,identity,True,metric_name_match,"Use the 60-question AIME 2024 + 2025 pass@1 metric, not per-year splits."
algotune,algotune,AlgoTune,gpt-5.4,terminus-2,0.224553,0.38087611987235215,-0.15632311987235215,GPT-5.4,AlgoTuner,AlgoTune Score,AlgoTune Score,2026-04-20,https://algotune.io/,matched_model_agent_mismatch,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",True,manual_review,Harbor applies the documented log-speedup compression to raw speedup factors.
algotune,algotune,AlgoTune,gpt-5.4,codex,0.310518,0.38087611987235215,-0.07035811987235213,GPT-5.4,AlgoTuner,AlgoTune Score,AlgoTune Score,2026-04-20,https://algotune.io/,matched_model_agent_mismatch,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",True,manual_review,Harbor applies the documented log-speedup compression to raw speedup factors.
algotune,algotune,AlgoTune,gpt-5-mini,terminus-2,0.152534,,,,,,AlgoTune Score,2026-04-20,https://algotune.io/,no_model_match,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",True,manual_review,Harbor applies the documented log-speedup compression to raw speedup factors.
algotune,algotune,AlgoTune,gpt-5-mini,codex,0.073516,,,,,,AlgoTune Score,2026-04-20,https://algotune.io/,no_model_match,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",True,manual_review,Harbor applies the documented log-speedup compression to raw speedup factors.
algotune,algotune,AlgoTune,gpt-5-nano,terminus-2,0.0,,,,,,AlgoTune Score,2026-04-20,https://algotune.io/,no_model_match,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",True,manual_review,Harbor applies the documented log-speedup compression to raw speedup factors.
algotune,algotune,AlgoTune,gpt-5-nano,codex,0.186018,,,,,,AlgoTune Score,2026-04-20,https://algotune.io/,no_model_match,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",True,manual_review,Harbor applies the documented log-speedup compression to raw speedup factors.
algotune,algotune,AlgoTune,claude-haiku-4-5-20251001,terminus-2,0.138607,,,,,,AlgoTune Score,2026-04-20,https://algotune.io/,no_model_match,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",True,manual_review,Harbor applies the documented log-speedup compression to raw speedup factors.
algotune,algotune,AlgoTune,claude-haiku-4-5-20251001,claude-code,0.169831,,,,,,AlgoTune Score,2026-04-20,https://algotune.io/,no_model_match,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",True,manual_review,Harbor applies the documented log-speedup compression to raw speedup factors.
algotune,algotune,AlgoTune,claude-sonnet-4-6,terminus-2,0.328953,,,,,,AlgoTune Score,2026-04-20,https://algotune.io/,no_model_match,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",True,manual_review,Harbor applies the documented log-speedup compression to raw speedup factors.
algotune,algotune,AlgoTune,claude-sonnet-4-6,claude-code,0.366747,,,,,,AlgoTune Score,2026-04-20,https://algotune.io/,no_model_match,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",True,manual_review,Harbor applies the documented log-speedup compression to raw speedup factors.
algotune,algotune,AlgoTune,claude-opus-4-6,terminus-2,0.349559,0.2781151069795546,0.0714438930204454,Claude Opus 4.6,AlgoTuner,AlgoTune Score,AlgoTune Score,2026-04-20,https://algotune.io/,matched_model_agent_mismatch,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",True,manual_review,Harbor applies the documented log-speedup compression to raw speedup factors.
algotune,algotune,AlgoTune,claude-opus-4-6,claude-code,0.328801,0.2781151069795546,0.050685893020445405,Claude Opus 4.6,AlgoTuner,AlgoTune Score,AlgoTune Score,2026-04-20,https://algotune.io/,matched_model_agent_mismatch,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",True,manual_review,Harbor applies the documented log-speedup compression to raw speedup factors.
algotune,algotune,AlgoTune,gemini-3.1-pro-preview,terminus-2,0.223543,0.4128345597955406,-0.18929155979554063,Gemini 3.1 Pro Preview,AlgoTuner,AlgoTune Score,AlgoTune Score,2026-04-20,https://algotune.io/,matched_model_agent_mismatch,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",True,manual_review,Harbor applies the documented log-speedup compression to raw speedup factors.
algotune,algotune,AlgoTune,gemini-3.1-pro-preview,gemini-cli,0.319385,0.4128345597955406,-0.09344955979554065,Gemini 3.1 Pro Preview,AlgoTuner,AlgoTune Score,AlgoTune Score,2026-04-20,https://algotune.io/,matched_model_agent_mismatch,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",True,manual_review,Harbor applies the documented log-speedup compression to raw speedup factors.
algotune,algotune,AlgoTune,gemini-3-flash-preview,terminus-2,0.179361,,,,,,AlgoTune Score,2026-04-20,https://algotune.io/,no_model_match,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",True,manual_review,Harbor applies the documented log-speedup compression to raw speedup factors.
algotune,algotune,AlgoTune,gemini-3-flash-preview,gemini-cli,0.0,,,,,,AlgoTune Score,2026-04-20,https://algotune.io/,no_model_match,transformed,"lambda x: math.log(max(1.0, x)) / (math.log(max(1.0, x)) + 1.0)",True,manual_review,Harbor applies the documented log-speedup compression to raw speedup factors.
arc-agi-2,arc_agi_2,ARC-AGI-2,gpt-5.4,terminus-2,0.02,,,,,,accuracy,2026-04-16,https://arcprize.org/leaderboard,no_model_match,direct,identity,True,metric_name_match,Legacy single-score rows are documented as ARC-AGI-2 accuracy.
arc-agi-2,arc_agi_2,ARC-AGI-2,gpt-5.4,codex,0.533333,,,,,,accuracy,2026-04-16,https://arcprize.org/leaderboard,no_model_match,direct,identity,True,metric_name_match,Legacy single-score rows are documented as ARC-AGI-2 accuracy.
arc-agi-2,arc_agi_2,ARC-AGI-2,gpt-5-mini,terminus-2,0.003333,,,,,,accuracy,2026-04-16,https://arcprize.org/leaderboard,no_model_match,direct,identity,True,metric_name_match,Legacy single-score rows are documented as ARC-AGI-2 accuracy.
arc-agi-2,arc_agi_2,ARC-AGI-2,gpt-5-mini,codex,0.003333,,,,,,accuracy,2026-04-16,https://arcprize.org/leaderboard,no_model_match,direct,identity,True,metric_name_match,Legacy single-score rows are documented as ARC-AGI-2 accuracy.
