model,domain,mean_score,n_benchmarks
gemini-3.1-pro-preview,"Agents, Tools & Systems",0.5763725,8
claude-opus-4-6,"Agents, Tools & Systems",0.5387041875,8
claude-sonnet-4-6,"Agents, Tools & Systems",0.5066335,8
gpt-5.4,"Agents, Tools & Systems",0.499378375,8
gemini-3-flash-preview,"Agents, Tools & Systems",0.4559438125,8
gpt-5-mini,"Agents, Tools & Systems",0.34518068749999997,8
claude-haiku-4-5-20251001,"Agents, Tools & Systems",0.31417275,8
gpt-5-nano,"Agents, Tools & Systems",0.1743595,8
claude-opus-4-6,Data & Analytics,0.460735,2
gemini-3.1-pro-preview,Data & Analytics,0.44770175,2
claude-sonnet-4-6,Data & Analytics,0.4377435,2
gemini-3-flash-preview,Data & Analytics,0.4084335,2
gpt-5.4,Data & Analytics,0.37012674999999995,2
gpt-5-mini,Data & Analytics,0.2795,2
claude-haiku-4-5-20251001,Data & Analytics,0.2317705,1
gpt-5-nano,Data & Analytics,0.151123,2
gemini-3.1-pro-preview,Knowledge & Long Context,0.7149689,5
claude-opus-4-6,Knowledge & Long Context,0.6374283000000001,5
gpt-5.4,Knowledge & Long Context,0.6323768000000001,5
gemini-3-flash-preview,Knowledge & Long Context,0.6200034999999999,5
claude-sonnet-4-6,Knowledge & Long Context,0.5988532,5
gpt-5-mini,Knowledge & Long Context,0.5475702,5
claude-haiku-4-5-20251001,Knowledge & Long Context,0.473142,5
gpt-5-nano,Knowledge & Long Context,0.3458574,5
gemini-3.1-pro-preview,Mathematics & Reasoning,0.8851629166666667,6
claude-opus-4-6,Mathematics & Reasoning,0.8297445833333333,6
claude-sonnet-4-6,Mathematics & Reasoning,0.7881846666666666,6
gpt-5.4,Mathematics & Reasoning,0.7677754166666667,6
gpt-5-mini,Mathematics & Reasoning,0.7393154166666666,6
gemini-3-flash-preview,Mathematics & Reasoning,0.7004474166666667,6
claude-haiku-4-5-20251001,Mathematics & Reasoning,0.6812570833333332,6
gpt-5-nano,Mathematics & Reasoning,0.5902619166666666,6
claude-opus-4-6,Multimodal,0.6933335,1
gpt-5.4,Multimodal,0.6816665,1
claude-sonnet-4-6,Multimodal,0.625,1
gemini-3.1-pro-preview,Multimodal,0.6183335,1
gpt-5-mini,Multimodal,0.59,1
gemini-3-flash-preview,Multimodal,0.566667,1
claude-haiku-4-5-20251001,Multimodal,0.5266665,1
gpt-5-nano,Multimodal,0.30333350000000003,1
gemini-3.1-pro-preview,Professional Domains,0.6636936666666666,6
claude-opus-4-6,Professional Domains,0.6405666363636363,6
claude-sonnet-4-6,Professional Domains,0.6172707272727272,6
gpt-5.4,Professional Domains,0.5936430833333334,6
gemini-3-flash-preview,Professional Domains,0.5457865833333333,6
claude-haiku-4-5-20251001,Professional Domains,0.45654725,6
gpt-5-mini,Professional Domains,0.4120368333333333,6
gpt-5-nano,Professional Domains,0.19132025,6
gpt-5-nano,Safety & Security,0.95625,1
gpt-5.4,Safety & Security,0.954444,1
gpt-5-mini,Safety & Security,0.946667,1
gemini-3.1-pro-preview,Safety & Security,0.8919445,1
claude-haiku-4-5-20251001,Safety & Security,0.824722,2
gemini-3-flash-preview,Safety & Security,0.8038890000000001,1
claude-opus-4-6,Safety & Security,0.7985186666666667,2
claude-sonnet-4-6,Safety & Security,0.75361125,2
gemini-3.1-pro-preview,Scientific Research,0.512090375,8
gpt-5.4,Scientific Research,0.506585625,8
gemini-3-flash-preview,Scientific Research,0.4324816875,8
claude-opus-4-6,Scientific Research,0.41761824999999997,8
claude-sonnet-4-6,Scientific Research,0.37990475,8
gpt-5-mini,Scientific Research,0.335119,8
claude-haiku-4-5-20251001,Scientific Research,0.3161343125,8
gpt-5-nano,Scientific Research,0.11004687499999999,8
claude-opus-4-6,Software Engineering,0.6650314545454545,17
gemini-3.1-pro-preview,Software Engineering,0.663968205882353,17
gpt-5.4,Software Engineering,0.6191202647058823,17
claude-sonnet-4-6,Software Engineering,0.6164457352941176,17
gemini-3-flash-preview,Software Engineering,0.6074835588235293,17
gpt-5-mini,Software Engineering,0.4448318235294118,17
claude-haiku-4-5-20251001,Software Engineering,0.43220738235294115,17
gpt-5-nano,Software Engineering,0.20188279411764706,17
