model,release_date
BitAgent-Bounty-8B,2025-07-04
ToolACE-2-8B,2024-09-02
Arch-Agent-32B,2026-03-02
palmyra-x-004,2024-10-09
xLAM-2-32b-fc-r,2025-04-04
Hammer2.1-7b,2024-12-13
Hammer2.1-3b,2024-12-13
xLAM-2-70b-fc-r,2025-04-04
CoALM-8B,2025-02-12
CoALM-70B,2025-02-12
Arch-Agent-3B,2026-03-02
Hammer2.1-1.5b,2024-12-13
Arch-Agent-1.5B,2026-03-02
MiniCPM3-4B-FC,2024-04-09
xLAM-2-8b-fc-r,2025-04-04
xLAM-2-3b-fc-r,2025-04-04
Hammer2.1-0.5b,2024-12-13
RZN-T,2025-11-01
xLAM-2-1b-fc-r,2025-04-04
Bielik-11B-v2.3-Instruct,2026-01-28
Nanbeige3.5-Pro-Thinking,2025-11-22
MiniCPM3-4B,2024-04-09
Dracarys-72B-Instruct,2024-08-23
WhiteRabbitNeo-33B-v1.5,2024-02-15
ReflectionCoder-DS-33B,2024-07-01
Nxcode-CQ-7B-Orpo,2024-03-12
AutoCoder,2024-05-23
ReflectionCoder-DS-6.7B,2024-05-27
OpenCodeInterpreter-DS-6.7B,2024-02-22
WaveCoder-Ultra-6.7B,2024-04-10
Artigenz-Coder-DS-6.7B,2024-04-16
InverseCoder-CL-13B,2024-07-27
InverseCoder-CL-7B,2024-07-27
ReflectionCoder-CL-34B,2024-07-01
InverseCoder-DS-6.7B,2024-07-08
AutoCoder-QW-7B,2024-05-23
AutoCoder-S-6.7B,2024-05-23
ReflectionCoder-CL-7B,2024-05-27
Mistral-7B-Instruct-v0.3,2024-05-22
OpenCodeInterpreter-DS-1.3B,2024-02-22
KwaiCoder-23B-A4B-v1,2025-01-22
OpenCodeInterpreter-DS-33B,2024-02-22
WarriorCoder-6.7B (Reproduced),2024-12-23
StableBeluga2,2023-07-18
Yulan-Chat-2-13B,2023-08-02
Fuzi-Mingcha,2023
ChatLaw-13B,2023-06-28
Wisdom-Interrogatory,2023
HanFei,2023
LexiLaw,2023
ChatLaw-33B,2023-06-28
TigerBot-SFT,2023-12-13
Lawyer-LLaMA,2023-05-24
TigerBot-Base,2023-12-13
MOSS-Moon-SFT,2023-04-25
MOSS-Moon,2023-04-25
WizardLM-7B,2023-04-28
Chinese-Alpaca-2-7B,2023-07-19
Vicuna-v1.3-13B,2023-06-22
Vicuna-v1.3-33B,2023-06-22
Vicuna-v1.3-7B,2023-06-22
MPT-7B,2023-05-05
MPT-Instruct-7B,2023-05-05
Alpaca-v1.0-7B,2023-07-18
LaWGPT-7B-beta1.1,2023-10-31
GoGPT,unknown
LaWGPT-7B-beta1.0,2023-05-13
QuixBugs,2017-10-22
JGenProg,2016
Arja,2017
RSRepair,2017
NPEFix,2017
Cardumen,2017-12-11
Tibra,unknown
Nopol,2015
JKali,2016
JMutRepair,2016
Dynamoth,2016
SpreadsheetBench,2024-06-21
Tetra-Beta-2,unknown
Nobie Agent,unknown
Qingqiu Agent,unknown
Shortcut.ai,unknown
Kyra Decide Agent,unknown
